treat_one,treat_zero,control_one,control_zero,
1,3828,7,3187,
1,3985,19,2848,
2,4027,11,3028,
0,3109,3,3869,
0,3025,6,3857,
0,3143,6,3842,
1,3964,15,2943,
0,3178,3,3692,
0,3455,5,3481,
0,3491,16,3498,
1,3450,3,3404,
0,3339,1,3557,
0,4040,6,2763,
0,3825,1,3158,
0,3656,5,3262,
0,4241,22,2590,
0,3432,9,3485,
0,3466,16,3449,
1,3277,4,3580,
0,3890,15,2963,
0,3122,8,3910,
1,3111,21,3785,
1,3226,11,3752,
0,3349,8,3570,
1,3399,9,3651,
0,3740,13,3283,
0,3643,2,3139,
0,3215,12,3652,
0,3027,5,3892,
1,4027,4,2815,
0,3630,22,3252,
0,3485,21,3420,
0,3737,11,3224,
1,3840,1,2992,
0,3696,28,3206,
0,3220,6,3765,
0,3539,7,3491,
0,3830,3,3198,
0,3893,0,3059,
0,3282,5,3677,
1,3390,7,3594,
1,3590,3,3301,
1,2839,14,4079,
0,3287,22,3671,
0,3537,5,3402,
1,3266,9,3511,
0,3850,2,3211,
0,3326,6,3601,
0,3618,12,3272,
1,4236,3,2748,
0,3432,5,3540,
0,2959,3,3907,
0,3001,1,3899,
0,3129,14,3712,
0,4222,14,2689,
0,2935,14,3864,
0,3589,11,3439,
0,3442,11,3547,
0,3379,3,3520,
0,3225,9,3777,
0,2511,6,4348,
2,3637,5,3266,
0,4103,6,2762,
0,3043,3,3850,
1,2904,9,3826,
1,3055,15,3804,
0,3658,1,3162,
2,3938,8,2956,
0,3890,19,3074,
1,3890,4,2910,
0,3576,0,3326,
1,3088,22,3731,
0,2619,19,4081,
0,2653,14,4407,
0,3720,13,3065,
0,3858,4,3187,
0,3234,18,3618,
0,3564,0,3327,
0,3989,4,2979,
1,4106,4,2952,
0,3424,2,3598,
0,3474,22,3322,
0,3888,0,3129,
0,3873,1,3002,
1,4365,0,2620,
0,3245,14,3761,
0,3497,5,3487,
0,3432,10,3462,
0,3028,10,3919,
0,2989,2,3948,
1,3412,6,3544,
0,3663,20,3314,
2,3246,4,3548,
1,3456,3,3390,
0,3324,25,3606,
0,3728,9,3156,
0,4289,5,2735,
0,3594,8,3414,
0,2509,12,4293,
0,3466,11,3518,
1,4003,4,2853,
0,3204,9,3767,
0,2790,2,4195,
0,4107,15,2887,
0,3347,3,3709,
0,3738,6,3141,
0,2988,14,3843,
1,3722,2,3166,
0,3512,2,3469,
0,3857,6,3101,
0,3093,11,3854,
0,3298,25,3578,
0,3407,0,3571,
1,3426,7,3499,
0,3452,12,3379,
0,3621,14,3287,
0,2874,11,3844,
0,3235,9,3574,
0,2959,3,4011,
0,3412,7,3502,
0,3311,5,3594,
0,3745,11,3178,
0,3430,22,3411,
0,3526,7,3184,
1,3392,24,3510,
0,3483,4,3357,
0,3129,4,3731,
3,3900,23,2906,
0,3857,3,3123,
1,3000,14,3937,
0,3454,6,3589,
0,3298,14,3644,
0,3360,7,3661,
0,3393,20,3440,
0,3530,11,3416,
0,3243,18,3674,
0,3029,5,3906,
0,3836,0,3051,
0,3417,3,3479,
1,3455,2,3506,
0,3627,3,3312,
1,3853,31,3048,
0,3328,12,3479,
1,3594,17,3221,
0,3242,1,3748,
1,3165,4,3715,
0,3283,16,3641,
1,3667,14,3278,
0,3305,19,3542,
0,3929,4,3078,
0,3710,11,3209,
1,4359,17,2672,
0,3212,13,3798,
0,2843,9,3960,
0,3307,18,3712,
0,3649,11,3393,
1,3379,10,3506,
0,3576,3,3327,
0,3231,20,3545,
0,3303,0,3585,
0,3033,12,3856,
1,3508,4,3370,
0,3241,14,3520,
1,2904,13,4185,
0,3169,10,3904,
3,4089,2,2802,
1,3522,15,3465,
1,2932,11,3899,
1,3779,13,3156,
0,3308,3,3616,
0,3740,9,3042,
0,4053,15,2833,
0,3348,20,3374,
1,3622,11,3305,
0,2761,15,4122,
0,3307,3,3748,
0,2594,13,4146,
0,3749,12,3189,
1,3298,15,3687,
1,3425,1,3369,
0,3488,1,3454,
1,3085,9,3728,
0,3914,11,3028,
0,3062,10,3962,
0,3349,5,3413,
0,2979,9,3828,
0,2787,13,4141,
0,3886,7,2969,
0,3572,6,3401,
0,3322,2,3523,
0,3791,19,3225,
0,3301,9,3644,
2,3869,1,3091,
0,3471,3,3385,
0,3809,1,3148,
0,3118,0,3837,
0,3383,8,3525,
0,3244,9,3574,
0,4083,6,2947,
0,3333,11,3537,
0,3293,10,3487,
1,3276,9,3558,
1,3615,13,3182,
2,3391,14,3657,
0,4204,21,2876,
0,3589,10,3284,
1,2922,5,3910,
0,3825,14,3161,
0,3165,20,3904,
1,3538,15,3458,
1,3692,3,3385,
0,3593,13,3463,
2,3414,4,3362,
1,3582,14,3338,
0,3294,13,3618,
0,3526,2,3331,
0,2646,16,4273,
1,3597,23,3316,
0,3572,4,3403,
3,3756,17,3146,
1,3491,7,3432,
0,3401,7,3580,
1,3666,13,3187,
0,3126,5,3846,
0,3646,1,3230,
0,3095,9,3824,
0,3063,18,3705,
0,2576,24,4294,
0,3544,3,3439,
1,3426,1,3524,
0,4103,4,2656,
0,3438,5,3615,
0,2936,12,4042,
0,2583,2,4372,
0,3745,8,3075,
1,3918,16,2933,
0,3384,17,3554,
0,3627,27,3355,
0,3694,12,3170,
0,3852,5,3021,
1,4058,21,2841,
0,3371,5,3493,
0,3148,5,3779,
0,3925,2,3066,
0,3119,12,3860,
0,3763,16,3246,
0,3686,11,3212,
0,3489,5,3453,
0,4160,8,2857,
2,3960,33,3056,
0,2878,7,4001,
0,3427,5,3332,
0,3072,3,3810,
0,3632,6,3172,
1,3171,8,3716,
0,2959,5,4036,
0,3371,3,3575,
0,3276,5,3662,
0,2892,16,3887,
1,4061,10,2964,
1,2921,18,4087,
0,3087,2,3717,
0,3490,1,3427,
1,3376,3,3564,
0,3544,1,3403,
1,3294,16,3664,
1,3318,8,3641,
0,2820,19,3942,
1,3004,14,3890,
0,3825,1,3063,
1,3774,13,3248,
0,3585,4,3379,
0,3350,2,3680,
0,3375,10,3663,
0,3689,8,3219,
0,3458,3,3439,
0,3257,0,3671,
0,3265,1,3557,
1,3643,15,3175,
1,3540,3,3230,
0,3857,4,3232,
0,3714,1,3196,
0,3396,5,3500,
1,3948,3,2978,
0,4066,21,2859,
2,3624,16,3207,
0,3478,27,3477,
0,3580,8,3370,
0,2977,5,3888,
0,3865,9,3113,
0,3395,7,3578,
0,3110,3,3748,
0,3675,12,3071,
0,3101,10,3771,
1,3531,0,3272,
0,3143,13,3750,
1,3289,9,3607,
0,3234,3,3617,
1,3632,1,3269,
0,3410,10,3511,
0,3522,10,3444,
0,3288,2,3620,
0,3988,13,2895,
0,3650,1,3222,
0,3322,1,3419,
0,4133,14,2845,
0,3615,12,3291,
0,3194,16,3560,
0,3842,7,2921,
0,3680,0,3174,
0,3929,4,2994,
0,3106,4,3880,
0,3074,5,3774,
0,3525,21,3291,
0,3091,1,3772,
0,3124,1,3956,
0,3193,6,3769,
0,2973,7,3876,
0,3546,8,3321,
0,3525,3,3451,
0,3391,21,3469,
0,3532,22,3441,
0,3332,11,3550,
1,3463,12,3540,
0,3327,14,3645,
0,3382,9,3606,
0,3362,9,3594,
0,3347,14,3497,
0,3046,1,3986,
0,4114,7,2811,
0,2738,10,4059,
0,3639,7,3254,
1,3531,7,3346,
0,3926,34,3092,
0,3227,10,3683,
0,3395,10,3491,
0,3418,19,3454,
1,3284,2,3510,
0,3786,6,3119,
0,2964,10,3877,
1,4256,2,2673,
0,3102,6,3879,
0,3153,8,3824,
1,3228,9,3547,
0,3147,10,3690,
0,3486,13,3347,
0,3595,14,3263,
0,3366,10,3500,
0,3962,2,3063,
0,3600,4,3308,
0,2911,4,3989,
1,3287,5,3811,
0,3985,0,3109,
0,3685,4,3309,
