treat_one,treat_zero,control_one,control_zero,
0,4798,4,4160,
0,4594,17,4393,
1,4614,22,4385,
1,4017,13,4793,
0,4411,18,4479,
0,3919,3,5009,
2,4844,6,4212,
0,4193,15,4860,
0,4306,9,4674,
0,4092,14,4652,
0,4304,18,4641,
2,5066,0,3895,
0,4142,21,4785,
1,4717,16,3987,
0,4984,15,3808,
1,4162,4,4558,
0,4960,11,4005,
0,4382,18,4597,
0,4871,11,4035,
1,4097,8,4694,
0,5439,17,3351,
2,4148,13,4706,
0,3867,6,4852,
0,4352,1,4644,
0,4036,19,4829,
0,4983,18,3945,
0,3875,16,5132,
0,4642,16,4242,
0,4496,4,4271,
0,3797,13,4990,
1,4301,30,4465,
0,4382,9,4629,
1,4262,8,4552,
0,4475,9,4511,
1,3924,28,4881,
1,3908,14,4777,
0,4678,5,4163,
0,4569,6,4417,
0,3690,31,5098,
1,4301,8,4695,
0,5081,25,3842,
0,4881,14,4048,
1,4475,21,4268,
0,4369,10,4614,
1,4760,11,4301,
0,4282,4,4727,
0,4838,4,4075,
0,4241,16,4596,
0,3526,21,5397,
1,4875,10,3889,
2,3962,12,4864,
0,4362,10,4567,
0,4121,18,4802,
0,3795,15,5169,
0,4130,11,4743,
0,4392,17,4572,
0,4403,4,4545,
0,3655,4,5282,
0,4186,13,4827,
1,4793,16,4037,
0,4323,6,4633,
0,4191,10,4714,
1,3509,26,5166,
2,4096,8,4782,
1,3440,11,5278,
0,3476,1,5279,
0,4417,10,4410,
2,4655,9,4039,
0,5295,23,3573,
0,4684,21,3954,
1,4756,7,4247,
0,4585,0,4044,
1,3693,27,5124,
0,4586,9,4414,
0,4491,8,4351,
0,4763,11,4110,
0,3889,15,4819,
0,5021,14,3951,
1,4986,2,4055,
0,4579,20,4249,
0,3976,24,4667,
0,3803,14,5109,
1,4955,6,3932,
0,5219,5,3692,
0,4510,5,4400,
0,4630,10,4256,
1,3647,15,5020,
0,4513,4,4258,
0,5069,11,3839,
0,4619,3,4276,
0,5142,10,3778,
1,5163,12,3825,
1,4856,31,3836,
0,4136,13,4636,
0,4537,18,4246,
1,4688,15,4146,
0,4327,19,4457,
0,4236,22,4591,
0,5380,6,3523,
0,4397,19,4660,
0,4991,4,3787,
0,4759,3,4291,
0,3694,6,5201,
2,4924,1,3922,
1,3798,20,4893,
0,4381,3,4504,
0,4346,3,4483,
0,4102,13,4932,
0,4516,18,4414,
0,3843,26,5121,
0,5338,22,3568,
0,4524,25,4338,
0,4249,5,4617,
0,4064,7,4936,
0,5096,35,3862,
0,4350,9,4466,
0,4433,11,4533,
0,4801,34,4163,
0,4693,3,4172,
0,3929,3,4979,
0,4176,24,4573,
1,5461,10,3506,
0,4306,24,4488,
3,4895,24,3992,
1,4856,23,4147,
0,5091,2,3832,
0,4059,18,4774,
1,4263,7,4570,
0,4543,0,4200,
1,3800,9,5277,
1,4758,9,4166,
0,4535,14,4513,
0,4395,6,4456,
0,5336,8,3436,
0,4594,6,4422,
0,4249,11,4705,
0,4150,30,4825,
1,4285,23,4652,
0,4964,3,3868,
0,4532,4,4600,
0,4679,4,4276,
2,4358,4,4651,
0,4240,8,4718,
1,4445,8,4540,
0,3961,8,4834,
1,4202,2,4590,
1,4908,6,3873,
0,4625,18,4467,
0,4491,4,4592,
0,5344,4,3566,
0,4906,7,4042,
0,4558,6,4358,
0,4536,21,4207,
0,4332,5,4489,
2,4972,8,3943,
0,4316,3,4661,
0,3930,12,5025,
0,4588,0,4161,
0,3900,13,4951,
0,4031,17,4820,
0,4654,2,4151,
0,4463,7,4377,
0,4373,11,4574,
1,4244,12,4622,
0,4680,23,4215,
0,4752,5,4152,
0,4599,38,4111,
0,4409,2,4537,
0,4713,10,4088,
0,4654,3,4099,
0,4555,17,4494,
0,5131,21,3770,
0,5265,2,3679,
1,4501,10,4288,
0,4029,10,4953,
0,4581,8,4378,
1,3518,1,5418,
2,4196,21,4943,
0,4115,13,4769,
0,4452,13,4383,
0,4385,32,4533,
0,4405,12,4493,
3,3848,3,5091,
0,4949,10,4050,
1,3959,14,4990,
0,5116,2,3823,
0,4326,7,4601,
0,4650,3,4112,
0,4221,13,4733,
0,3326,29,5512,
0,4355,5,4462,
1,3511,10,5356,
1,4455,22,4432,
1,4393,4,4522,
0,4566,7,4327,
1,4748,14,4241,
0,4199,32,4741,
0,4382,14,4523,
0,5373,2,3603,
0,5101,9,3946,
0,3749,24,5013,
1,5347,4,3405,
0,4200,14,4825,
0,4347,13,4424,
0,4451,21,4633,
0,4805,6,4232,
0,4246,20,4685,
0,5050,11,3669,
0,4482,18,4405,
1,4153,6,4719,
0,3998,8,4890,
