treat_one,treat_zero,control_one,control_zero,
0,1128,2,812,
0,1193,1,722,
0,899,7,1088,
0,959,1,1041,
0,975,1,1005,
0,882,4,1074,
0,1215,10,802,
0,1156,0,831,
0,1174,0,786,
0,857,2,1071,
0,872,0,1052,
0,996,0,987,
0,836,1,1085,
0,965,0,966,
0,1182,3,793,
0,709,0,1313,
0,1366,5,694,
0,1026,1,990,
1,962,8,1022,
0,1039,5,918,
0,1174,0,812,
0,861,7,1066,
0,840,0,1188,
0,856,4,1142,
0,1018,4,975,
0,1011,2,949,
0,1029,1,941,
0,1117,0,833,
0,1230,5,734,
0,1300,1,700,
0,840,0,1099,
0,1107,6,823,
0,808,3,1213,
0,751,5,1255,
0,1027,0,938,
1,794,4,1172,
0,1041,0,975,
1,1426,0,513,
0,911,4,1115,
0,857,0,1150,
0,1228,0,819,
0,1060,2,945,
0,1011,1,888,
0,894,3,1045,
0,939,1,990,
0,1149,6,790,
0,995,0,935,
0,1003,1,948,
0,1014,0,974,
0,796,2,1173,
0,1034,3,940,
0,913,0,1056,
1,798,5,1246,
0,1025,0,997,
0,769,5,1096,
0,1055,0,972,
0,826,12,1147,
0,859,16,1151,
1,709,2,1214,
0,1078,4,926,
0,779,0,1195,
0,1368,5,612,
0,787,0,1195,
0,803,1,1105,
0,1060,0,906,
0,1039,5,922,
0,1086,12,895,
1,1032,10,937,
0,1270,3,740,
0,924,3,1008,
0,899,1,1100,
1,1261,0,713,
1,1034,6,900,
0,1032,3,917,
0,892,0,1107,
0,1101,0,884,
0,865,5,1122,
2,725,6,1224,
0,822,0,1109,
0,1108,1,909,
0,768,7,1218,
0,1137,7,788,
0,1140,5,788,
0,1130,0,831,
0,888,5,1071,
0,1053,0,979,
0,1042,1,920,
0,670,0,1284,
0,861,1,1105,
0,1165,0,853,
1,1127,0,813,
0,778,11,1163,
0,914,0,1068,
0,1073,1,918,
0,995,2,1021,
0,1085,3,860,
1,1167,1,818,
0,1185,2,691,
1,1162,0,757,
0,1031,0,958,
2,883,0,1079,
0,752,1,1232,
0,1074,0,856,
0,808,7,1158,
0,826,2,1111,
0,905,1,1123,
0,1120,3,836,
1,1315,0,696,
0,1076,2,877,
0,1034,3,866,
0,866,7,1191,
0,894,0,1125,
0,1179,0,853,
1,878,2,1062,
0,825,6,1127,
1,1147,0,903,
0,977,1,916,
0,991,1,991,
1,928,0,1010,
0,884,1,1110,
1,753,1,1190,
0,1100,2,916,
0,660,2,1314,
0,872,0,1074,
0,1022,3,952,
0,634,0,1409,
0,993,2,979,
0,672,2,1295,
0,852,1,1180,
0,1144,2,855,
0,943,6,1000,
0,1487,0,505,
0,1021,0,978,
0,1167,1,788,
0,993,0,1034,
0,1008,1,938,
0,1031,8,945,
0,707,16,1225,
0,1002,0,960,
0,1082,7,856,
0,679,7,1285,
1,1070,1,847,
0,841,2,1185,
0,1021,2,935,
0,659,2,1372,
0,817,4,1135,
1,1041,1,944,
0,862,1,1099,
0,1120,4,878,
0,907,1,1104,
0,1198,1,715,
0,971,2,1020,
0,873,14,1075,
0,920,4,1078,
1,1051,4,965,
0,858,8,1049,
0,1148,5,784,
0,1061,2,936,
0,807,0,1140,
0,1236,3,723,
0,994,6,1017,
0,1193,0,859,
0,1096,0,918,
1,891,6,1034,
0,1012,6,898,
0,1137,0,845,
0,951,0,1043,
0,885,3,1105,
0,1019,1,860,
0,1056,3,926,
0,1033,2,945,
0,969,1,1034,
0,838,5,1070,
1,717,0,1246,
0,750,0,1187,
0,699,1,1330,
0,1018,0,928,
1,1244,3,717,
0,1086,0,953,
1,872,0,1155,
0,886,0,1084,
0,942,0,1099,
0,963,0,990,
0,1229,1,718,
0,989,2,969,
0,1012,3,1009,
0,1054,7,921,
0,1299,4,704,
0,825,0,1175,
1,1011,0,938,
0,654,2,1308,
0,1084,4,887,
1,945,0,1033,
0,692,8,1285,
0,794,18,1159,
0,989,1,958,
1,927,7,1025,
0,1003,0,938,
0,1136,0,856,
0,1036,2,900,
1,1079,3,814,
0,927,0,1058,
0,798,5,1162,
0,1143,1,855,
0,1115,0,879,
0,893,1,1127,
1,982,5,963,
0,705,6,1304,
1,969,10,1012,
0,1464,0,581,
0,1056,1,944,
0,1150,0,853,
0,822,3,1231,
0,931,0,1037,
0,1081,5,854,
0,898,0,1001,
0,758,10,1239,
0,1052,5,861,
0,967,0,1080,
0,1064,1,883,
0,951,9,1059,
0,993,0,988,
0,1003,7,936,
0,1013,3,1013,
0,1114,1,863,
0,1040,7,962,
0,957,2,1005,
0,1069,5,912,
0,743,0,1212,
0,777,0,1223,
0,1213,0,780,
1,1034,0,911,
0,1380,11,568,
0,950,2,1052,
0,1016,7,885,
0,866,0,1028,
0,1087,11,888,
0,773,4,1241,
0,1085,0,898,
0,889,2,1086,
0,625,6,1314,
0,920,1,1042,
0,642,9,1287,
0,776,0,1228,
0,842,1,1077,
0,874,3,1082,
0,713,1,1239,
1,1063,1,858,
0,1092,2,813,
1,816,1,1113,
0,826,4,1133,
0,1079,2,867,
0,925,1,1102,
0,1095,5,886,
0,1146,0,839,
0,1020,0,978,
0,928,3,1056,
0,1287,0,744,
0,1290,1,677,
0,846,15,1089,
0,966,3,978,
0,1066,4,973,
0,917,0,1052,
0,598,6,1417,
0,1003,4,957,
0,882,5,1029,
0,969,5,1003,
0,1009,0,927,
0,837,5,1159,
0,926,1,1111,
0,902,2,1111,
0,932,5,1060,
0,1003,1,973,
0,926,2,980,
0,696,8,1299,
0,1241,0,704,
1,1106,8,809,
0,1025,3,853,
0,1451,5,491,
0,1044,1,946,
0,1173,2,813,
0,1140,5,833,
0,1039,7,987,
0,942,0,1053,
0,1136,3,882,
0,967,2,1045,
0,750,0,1270,
0,1034,0,926,
0,719,6,1159,
0,859,7,1099,
0,1003,5,985,
0,998,7,1007,
0,1028,0,1017,
0,1205,0,825,
1,999,4,1009,
0,1107,1,834,
0,898,2,1087,
1,849,7,1121,
0,1288,0,675,
0,933,11,1037,
0,1251,0,767,
0,1000,2,907,
0,744,4,1215,
0,1094,0,851,
0,1290,0,773,
0,1289,0,657,
0,935,3,1135,
0,956,0,1064,
0,926,5,1013,
0,1017,1,1020,
0,811,0,1234,
0,929,1,1025,
0,884,1,1150,
0,988,6,990,
0,1333,0,672,
0,1137,2,818,
0,878,3,1090,
0,838,0,1134,
0,1232,1,773,
0,995,2,942,
0,1421,0,592,
0,989,0,973,
0,830,2,1153,
0,1010,7,946,
0,1066,0,861,
0,775,5,1134,
0,820,3,1077,
0,940,3,1080,
0,821,1,1237,
0,824,3,1191,
0,1173,7,810,
0,694,4,1326,
0,1096,5,874,
1,1101,4,916,
0,1086,0,954,
0,902,6,1146,
0,930,0,1038,
1,1003,4,988,
0,1099,1,900,
0,1030,2,944,
0,1118,2,877,
0,916,8,1017,
0,523,2,1445,
0,892,1,1132,
0,986,0,1009,
0,859,2,1120,
0,527,3,1432,
0,1061,4,932,
0,1313,0,650,
1,1044,1,891,
0,1170,4,861,
0,1025,3,980,
0,1064,0,852,
1,999,0,1023,
0,1276,7,676,
0,899,11,1109,
0,1149,7,845,
0,956,1,1030,
0,798,1,1137,
0,947,1,986,
0,1199,7,822,
0,1297,0,643,
0,947,0,1053,
0,506,0,1467,
0,1095,0,908,
0,1046,2,866,
0,1154,0,813,
0,933,0,1051,
0,882,5,1106,
0,1215,4,818,
0,1025,2,945,
0,928,3,1031,
0,1071,3,845,
0,1021,0,1014,
0,821,2,1187,
0,1030,0,940,
0,1085,0,829,
0,800,6,1100,
0,959,2,1081,
0,924,1,1023,
0,963,5,1059,
0,1029,7,959,
1,1044,6,900,
2,1330,0,630,
0,1203,4,800,
1,764,2,1205,
0,1020,4,901,
0,1053,0,986,
0,895,1,1050,
0,1080,0,893,
0,1163,0,866,
0,928,5,978,
1,965,2,993,
0,1012,0,1006,
1,962,1,1032,
0,794,6,1175,
0,1104,9,937,
0,915,12,1013,
0,1174,2,845,
0,954,0,1032,
0,1169,4,793,
0,936,10,1011,
0,779,4,1177,
0,963,0,1055,
0,940,7,1025,
0,1365,0,604,
0,1082,3,861,
0,712,0,1259,
0,1126,0,858,
0,939,0,962,
0,846,0,1121,
0,804,2,1101,
0,1174,0,751,
0,994,7,999,
0,1257,0,719,
0,942,2,1052,
0,1238,0,684,
0,902,10,1097,
0,999,3,999,
0,926,0,1032,
0,933,10,1065,
0,942,2,1013,
0,1183,3,754,
0,1003,0,973,
0,827,1,1140,
0,857,4,1069,
0,950,4,1063,
0,1060,1,941,
0,1039,0,885,
0,1099,0,892,
0,999,5,952,
0,907,0,1070,
0,1220,6,816,
0,1217,0,791,
0,843,12,1106,
0,866,1,1202,
0,950,3,1040,
0,1020,0,902,
0,1179,0,756,
0,727,6,1195,
0,851,0,1103,
0,1131,7,846,
0,1108,1,903,
0,955,2,1011,
0,852,8,1066,
0,1086,3,868,
1,780,7,1185,
0,1110,3,832,
0,1022,0,962,
0,1018,0,904,
0,840,0,1156,
0,687,2,1276,
0,983,0,969,
1,1023,0,958,
0,714,1,1331,
0,1360,0,650,
0,1002,0,993,
0,1035,3,872,
0,1076,8,870,
0,835,2,1159,
0,759,7,1220,
0,1089,0,937,
0,1225,5,795,
0,879,0,1076,
0,963,5,1057,
0,917,6,1047,
0,1172,2,863,
0,1141,0,844,
0,1051,9,912,
0,965,4,1001,
0,1028,0,1013,
1,896,2,1049,
0,829,6,1111,
0,797,9,1211,
0,942,2,1014,
0,942,7,940,
0,898,1,1075,
0,1076,2,914,
1,937,11,1000,
0,1029,6,1038,
0,1185,0,797,
0,846,5,1092,
0,853,1,1134,
0,1012,2,997,
0,737,1,1258,
0,1272,1,699,
0,1166,1,788,
0,876,0,1110,
0,1084,2,942,
1,1094,0,930,
0,976,0,1021,
0,1059,3,938,
0,981,0,1013,
1,1089,10,824,
0,828,4,1079,
0,869,2,1119,
0,990,2,916,
0,982,0,1044,
0,876,5,1039,
0,823,0,1171,
