treat_one,treat_zero,control_one,control_zero,
0,4994,14,4081,
2,4843,4,3933,
0,4108,6,4967,
5,5044,6,3888,
2,4760,20,4114,
4,4595,7,4450,
4,4650,19,4231,
4,4511,6,4364,
2,4070,9,4757,
2,4944,8,4067,
0,4524,12,4533,
2,5120,10,3557,
0,3968,16,4824,
4,4769,11,4077,
1,3681,6,5308,
0,3959,24,4841,
0,4892,6,4044,
0,4210,10,4434,
0,4311,12,4448,
1,4513,7,4430,
4,4375,14,4531,
3,4645,2,4228,
1,4959,12,3889,
3,4281,34,4573,
2,3925,30,5084,
0,4108,7,4685,
3,4419,16,4520,
1,5001,4,3785,
1,4253,9,4601,
1,4472,8,4387,
0,4665,12,4158,
3,4756,6,4138,
0,4075,14,4662,
0,4699,14,4304,
1,3786,9,5060,
2,4289,10,4646,
1,5159,15,3669,
0,4015,4,5004,
6,4714,16,4201,
1,4051,8,4863,
1,4686,8,4182,
2,4555,4,4246,
0,4905,20,4066,
0,4136,1,4832,
0,4287,10,4833,
2,4738,10,4168,
0,4303,25,4560,
0,3594,1,5187,
1,4457,26,4272,
0,5214,3,3590,
3,3797,12,4850,
2,4221,8,4527,
1,5094,2,3837,
2,4085,7,4734,
2,4363,7,4632,
0,4884,34,4013,
0,4671,1,4317,
3,4684,20,4413,
5,4608,8,4294,
1,4308,34,4452,
0,4763,13,4242,
5,3893,12,4986,
1,4640,3,4189,
1,4115,26,4919,
0,4468,20,4665,
1,4318,27,4650,
2,4905,17,4006,
2,5088,18,3883,
0,4894,18,4138,
2,4217,16,4713,
1,4271,9,4541,
2,4320,23,4472,
6,4968,21,4122,
0,3842,2,5123,
0,4183,2,4661,
1,4092,25,4771,
3,4890,10,3887,
1,4385,47,4482,
10,4121,20,4616,
0,4179,2,4538,
0,4176,6,4737,
5,5399,14,3464,
1,4460,9,4525,
2,3953,11,4873,
6,4238,12,4613,
1,4633,12,4157,
1,4696,9,4150,
7,4501,17,4336,
1,4029,3,5004,
2,4593,0,4416,
2,4747,10,4116,
2,4751,7,4398,
1,4970,5,4015,
0,5261,3,3536,
0,4340,6,4829,
6,5404,20,3511,
1,4488,5,4424,
0,4715,15,4160,
0,5524,6,3563,
2,4241,13,4682,
0,4733,13,4249,
2,4992,4,4138,
0,4399,9,4543,
1,4145,8,4809,
0,4291,20,4643,
0,4433,4,4615,
2,4995,18,4005,
7,4619,4,4361,
3,5215,19,3760,
0,4940,8,3987,
1,4725,11,4273,
1,4868,2,4039,
0,4559,18,4211,
0,4679,12,4280,
0,4518,2,4366,
0,3606,12,5258,
1,4100,20,4913,
1,3982,13,4921,
5,4574,18,4374,
0,4387,0,4588,
2,4834,6,4150,
0,4985,7,3817,
0,4781,3,4048,
0,4357,8,4495,
0,4978,12,4038,
0,5427,10,3587,
1,3345,45,5650,
0,5131,16,3734,
0,4636,13,4405,
1,4444,9,4616,
3,4816,5,4244,
1,3668,38,5384,
0,4558,1,4426,
1,4004,14,4853,
0,4808,21,4178,
1,5278,2,3757,
0,4747,1,4350,
1,4007,2,4975,
0,4782,8,4226,
2,4406,11,4628,
6,5269,17,3546,
1,4393,16,4392,
1,4102,2,4838,
7,4529,5,4328,
1,4323,16,4518,
0,4581,20,4237,
7,4888,21,4161,
2,3986,9,4878,
0,4855,7,3944,
2,5083,0,3762,
0,4489,2,4503,
2,5054,37,3788,
1,4055,9,4818,
2,4409,13,4547,
0,5290,13,3805,
0,4027,28,4853,
3,4550,3,4345,
0,3842,1,4887,
1,4595,9,4272,
1,4831,1,4149,
0,4251,32,4448,
2,4606,11,4377,
1,4231,11,4495,
1,3905,3,5110,
0,4575,15,4531,
0,4371,11,4514,
0,4466,8,4359,
5,4117,20,4681,
0,4726,11,4209,
0,4275,7,4447,
1,4885,13,3900,
3,3861,4,4990,
7,4773,5,4052,
0,4759,10,4031,
2,4415,2,4493,
0,4761,15,4208,
2,4691,15,4160,
4,4392,1,4444,
5,4907,5,3973,
0,4491,8,4380,
0,4169,21,4663,
5,4244,20,4512,
1,4950,15,3906,
3,4227,3,4564,
0,5448,17,3563,
0,4756,12,4186,
0,5020,19,3848,
2,4399,5,4645,
2,4281,10,4757,
3,4037,1,4936,
1,4619,0,4271,
4,4392,14,4648,
4,4487,18,4671,
2,4542,15,4277,
0,4684,10,4273,
3,4618,9,4330,
1,5926,4,3105,
2,4306,3,4473,
4,5068,13,4042,
0,4205,14,4621,
