treat_one,treat_zero,control_one,control_zero,
0,2341,11,2666,
0,2151,11,2760,
0,2415,14,2500,
0,2121,4,2856,
0,3052,6,1876,
0,2657,1,2303,
0,2402,4,2562,
0,2568,9,2378,
0,2447,1,2438,
0,2114,8,2841,
0,2423,11,2496,
0,2796,6,2084,
0,1996,4,2892,
0,2248,3,2678,
0,2536,9,2351,
1,2490,3,2417,
0,2774,18,2228,
0,2328,7,2669,
2,2179,12,2729,
0,2826,3,2091,
0,2724,6,2095,
0,2696,4,2215,
0,2009,11,2884,
0,2508,5,2470,
0,2218,14,2692,
0,2711,3,2188,
0,2452,6,2375,
0,2324,6,2711,
1,1986,8,3020,
0,2352,12,2641,
0,2535,1,2399,
0,2254,8,2739,
1,2251,3,2631,
0,2316,5,2636,
1,2641,6,2392,
0,2226,4,2743,
0,2164,2,2742,
1,1976,16,2990,
2,2399,12,2534,
2,2420,2,2444,
0,2103,10,2796,
0,2650,5,2384,
0,2266,13,2689,
0,2513,5,2419,
2,2072,30,2891,
0,2514,4,2401,
0,2532,15,2353,
0,2969,11,1922,
0,2012,15,2803,
0,2384,21,2568,
0,2066,8,2932,
0,2722,18,2240,
0,2757,13,2229,
0,2136,17,2815,
0,2062,6,2954,
0,2167,8,2847,
1,2396,2,2610,
0,2631,0,2253,
0,2050,14,2894,
0,2578,5,2433,
1,2312,5,2573,
0,2313,17,2679,
0,2075,6,2960,
0,2158,3,2792,
1,2232,3,2670,
0,2014,14,2868,
0,1862,14,3011,
0,2714,0,2250,
0,2381,0,2544,
0,2456,11,2493,
0,2567,6,2389,
0,2728,10,2215,
0,2292,12,2740,
0,2284,11,2547,
0,2200,9,2840,
1,2539,2,2432,
0,2981,4,1912,
0,2402,2,2539,
0,2453,3,2388,
0,2523,5,2331,
0,2246,4,2744,
0,2331,7,2585,
2,2605,6,2294,
0,2970,9,1915,
0,2189,19,2758,
1,2705,7,2291,
0,2180,0,2819,
1,2467,2,2490,
0,2432,13,2469,
1,2563,5,2397,
0,2260,8,2611,
0,2798,4,2149,
0,2065,0,2952,
0,2736,7,2236,
0,2492,21,2395,
0,2603,1,2212,
1,2684,7,2258,
1,2739,14,2234,
0,2577,2,2367,
0,2527,7,2583,
1,3033,5,1882,
0,2276,14,2711,
0,2586,0,2334,
0,2623,5,2294,
0,2806,7,2046,
2,2485,1,2437,
0,2395,6,2592,
1,2569,13,2249,
0,2125,1,2758,
0,2633,6,2334,
1,2538,6,2335,
0,1616,6,3328,
0,2780,0,2153,
1,2413,20,2561,
1,2524,7,2410,
0,2335,13,2525,
1,2390,7,2569,
1,2580,3,2463,
0,2514,5,2455,
0,2187,5,2757,
0,2273,6,2686,
0,2838,13,2078,
1,1929,1,3042,
0,2456,2,2487,
0,2414,7,2615,
1,2226,12,2766,
1,2655,9,2228,
0,2749,4,2158,
2,2665,15,2191,
0,2381,3,2527,
0,2273,7,2683,
1,2463,0,2509,
1,2346,12,2611,
0,2471,2,2488,
0,2798,11,2070,
0,2318,6,2672,
0,2121,12,2790,
0,2471,1,2433,
0,2071,4,2870,
0,2546,7,2396,
0,2511,8,2420,
0,2495,2,2377,
0,2405,3,2550,
0,2236,5,2752,
0,2318,2,2506,
0,2606,2,2361,
0,2343,3,2677,
0,2065,12,2905,
0,2367,2,2561,
0,2157,5,2878,
0,2158,4,2793,
0,2499,4,2439,
0,2621,3,2434,
0,2593,9,2381,
0,2250,12,2657,
0,2437,1,2576,
0,2220,9,2681,
0,2455,6,2517,
0,2811,4,2059,
0,2555,11,2436,
0,1847,13,3113,
1,3083,18,1950,
2,2654,0,2296,
0,2357,9,2530,
0,2505,2,2538,
0,2726,2,2288,
0,2498,4,2470,
0,2528,12,2492,
2,2528,0,2430,
0,2539,8,2299,
0,2470,13,2412,
0,2389,6,2585,
0,2368,10,2549,
0,2160,16,2733,
0,2792,6,2078,
1,2359,11,2626,
1,2747,11,2182,
1,2151,6,2761,
0,2486,6,2455,
1,2584,12,2371,
0,2065,14,2818,
0,2426,2,2556,
0,2901,19,2116,
1,2826,10,2096,
