treat_one,treat_zero,control_one,control_zero,
1,2837,16,3355,
0,3044,3,3218,
1,3448,0,2618,
0,3495,0,2843,
0,2948,4,3326,
1,3114,0,3263,
0,2973,3,3350,
0,3516,8,2832,
0,2367,17,3848,
1,2733,9,3522,
1,3010,12,3153,
0,3657,6,2653,
0,2829,24,3469,
2,3867,4,2296,
0,3161,5,3016,
0,2793,7,3365,
0,3544,9,2607,
0,2802,9,3496,
0,3111,14,3158,
0,3194,5,3224,
0,2709,4,3526,
0,3281,4,3049,
0,2802,20,3426,
0,3365,2,3017,
0,3000,0,3265,
0,2907,12,3306,
0,2313,11,3849,
0,3859,7,2389,
2,3295,8,3005,
0,3538,10,2753,
0,3197,3,3256,
0,3302,14,2931,
0,2814,13,3249,
0,3671,5,2721,
0,2728,8,3509,
0,3442,1,2891,
0,3335,11,2876,
0,3308,2,2893,
0,3522,13,2627,
0,2828,5,3476,
0,2955,12,3043,
0,3616,35,2475,
0,3742,9,2481,
0,2830,7,3273,
0,2867,8,3377,
0,3218,9,3031,
0,2815,20,3422,
0,2962,6,3299,
0,2661,5,3378,
0,3602,4,2759,
0,2230,20,3963,
0,3408,11,3039,
1,2768,6,3641,
0,2845,7,3412,
1,3470,11,2779,
1,3655,17,2546,
2,2701,17,3324,
2,3496,1,2732,
0,3204,3,3189,
1,3509,8,2581,
0,2786,2,3325,
0,3340,12,2910,
0,3097,5,3238,
0,2803,4,3547,
0,3504,1,2625,
0,2704,3,3567,
0,3078,7,2968,
0,3094,4,3173,
0,2892,14,3415,
0,2936,12,3425,
0,3211,1,3024,
0,3340,6,2869,
0,3067,14,3031,
0,3275,0,2991,
0,2727,28,3408,
0,3841,4,2382,
0,2457,1,3728,
0,3011,10,3293,
1,2762,7,3451,
0,3365,19,2888,
1,3039,10,3020,
0,2684,3,3463,
0,3005,17,3325,
0,3303,11,2980,
0,3635,4,2606,
0,3897,3,2568,
1,2884,23,3268,
0,3049,15,3173,
0,3031,5,3136,
0,3228,15,3071,
0,3288,9,2851,
0,3344,1,2984,
0,3336,1,2945,
0,2992,4,3161,
2,3148,1,2997,
0,2772,5,3464,
1,3511,8,2504,
0,3261,5,2919,
0,2588,5,3586,
0,3044,15,3193,
0,2593,19,3519,
0,2650,5,3492,
0,3692,2,2572,
0,2827,6,3244,
0,3435,0,2700,
0,3299,11,2899,
0,3120,1,3077,
1,3280,19,2940,
0,2503,12,3876,
1,2844,8,3451,
0,2149,14,4115,
0,2947,1,3167,
1,2971,13,3304,
0,3249,7,2892,
1,3724,24,2644,
0,2864,6,3277,
0,2915,9,3259,
0,2494,15,3721,
1,3268,11,2971,
1,3094,12,3218,
0,2968,2,3104,
0,3185,5,3147,
0,3077,4,3248,
0,3012,4,3266,
0,3091,9,3092,
0,3444,0,2603,
0,3269,1,3039,
0,3616,13,2722,
0,2414,3,3868,
0,3436,4,3068,
0,2916,1,3459,
0,3077,12,3031,
0,3445,3,2708,
0,2998,10,3202,
0,3597,22,2470,
0,3675,9,2605,
1,2805,7,3406,
1,2950,5,3353,
