"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"213",14,424,5,1,56
"214",14,425,5,1,56
"215",14,427,5,1,56
"216",14,429,5,1,56
"217",14,431,5,1,56
"218",14,433,5,1,56
"219",14,435,5,1,56
"220",14,436,5,1,56
"221",14,437,5,1,56
"222",14,438,5,1,56
"223",14,439,5,1,56
"224",14,441,5,1,56
"225",14,445,5,1,56
"226",14,447,5,1,56
"227",14,448,5,1,56
"228",14,449,5,1,56
"229",14,450,5,1,56
"230",14,452,5,1,56
"231",14,453,5,1,56
"232",14,456,5,1,56
"233",14,458,5,1,56
"234",14,468,5,1,56
"235",14,469,5,1,56
"236",14,471,5,1,56
"237",14,472,5,1,56
"238",14,477,5,1,56
"239",14,479,5,1,56
"240",14,480,5,1,56
"241",14,481,5,1,56
"242",14,482,5,1,56
"243",14,485,5,1,56
"244",14,486,5,1,56
"245",14,489,5,1,56
"246",14,490,5,1,56
"247",14,491,5,1,56
"248",14,495,5,1,56
"249",14,497,5,1,56
"250",14,499,6,1,56
"251",14,500,6,1,56
"252",14,502,6,1,56
"253",14,503,6,1,56
"254",14,504,6,1,56
"255",14,505,6,1,56
"256",14,506,6,1,56
"257",14,507,6,1,56
"258",14,508,6,1,56
"259",14,510,6,1,56
"260",14,511,6,1,56
"261",14,512,6,1,56
"262",14,513,6,1,56
"263",14,515,6,1,56
"264",14,516,6,1,56
"265",14,517,6,1,56
"266",14,519,6,1,56
"267",14,520,6,1,56
"268",14,521,6,1,56
"269",14,524,6,1,56
"270",14,529,6,1,56
"271",14,531,6,1,56
"272",14,538,6,1,56
"273",14,540,6,1,56
"274",14,541,6,1,56
"275",14,543,6,1,56
"276",14,544,6,1,56
"277",14,545,6,1,56
"278",14,546,6,1,56
"279",14,548,6,1,56
"280",14,551,6,1,56
"281",14,552,6,1,56
"282",14,553,6,1,56
"283",14,554,6,1,56
"284",14,555,6,1,56
"285",14,557,6,1,56
"286",14,558,6,1,56
"287",14,565,6,1,56
"288",14,566,6,1,56
"289",14,567,6,1,56
"290",14,568,6,1,56
"291",14,571,6,1,56
"292",14,573,6,1,56
"293",14,576,6,1,56
"294",14,584,6,1,56
"295",14,586,6,1,56
"296",14,587,6,1,56
"297",14,589,6,1,56
"298",14,590,6,1,56
"299",14,597,6,1,56
"300",14,599,6,1,56
"301",14,602,6,1,56
"302",14,603,6,1,56
"303",14,604,6,1,56
"304",14,608,7,1,56
"305",14,609,7,1,56
"306",14,611,7,1,56
"307",14,613,7,1,56
"308",14,615,7,1,56
"309",14,616,7,1,56
"310",14,617,7,1,56
"311",14,618,7,1,56
"312",14,619,7,1,56
"313",14,620,7,1,56
"314",14,621,7,1,56
"315",14,623,7,1,56
"316",14,628,7,1,56
"317",14,630,7,1,56
"318",14,632,7,1,56
"319",14,633,7,1,56
"320",14,635,7,1,56
"321",14,637,7,1,56
"322",14,639,7,1,56
"323",14,642,7,1,56
"324",14,644,7,1,56
"325",14,646,7,1,56
"326",14,649,7,1,56
"327",14,650,7,1,56
"328",14,653,7,1,56
"329",14,654,7,1,56
"330",14,656,7,1,56
"331",14,660,7,1,56
"332",14,661,7,1,56
"333",14,662,7,1,56
"334",14,663,7,1,56
"335",14,664,7,1,56
"336",14,667,7,1,56
"337",14,669,7,1,56
"338",14,671,7,1,56
"339",14,672,7,1,56
"340",14,673,7,1,56
"341",14,674,7,1,56
"342",14,675,7,1,56
"343",14,677,7,1,56
"344",14,679,7,1,56
"345",14,682,7,1,56
"346",14,685,7,1,56
"347",14,686,7,1,56
"348",14,691,7,1,56
"349",14,696,7,1,56
"350",14,700,7,1,56
"351",14,701,7,1,56
"352",14,703,7,1,56
"353",14,707,7,1,56
"354",14,708,7,1,56
"355",14,711,7,1,56
"356",14,712,7,1,56
"357",14,713,7,1,56
"358",14,717,7,1,56
"359",14,719,7,1,56
"360",14,720,7,1,56
"361",14,721,7,1,56
"362",14,724,8,0,56
"363",14,725,8,0,56
"364",14,728,8,0,56
"365",14,729,8,0,56
"366",14,731,8,0,56
"367",14,733,8,0,56
"368",14,737,8,0,56
"369",14,739,8,0,56
"370",14,741,8,0,56
"371",14,742,8,0,56
"372",14,744,8,0,56
"373",14,746,8,0,56
"374",14,749,8,0,56
"375",14,750,8,0,56
"376",14,753,8,0,56
"377",14,755,8,0,56
"378",14,756,8,0,56
"379",14,758,8,0,56
"380",14,759,8,0,56
"381",14,760,8,0,56
"382",14,763,8,0,56
"383",14,764,8,0,56
"384",14,765,8,0,56
"385",14,769,8,0,56
"386",14,770,8,0,56
"387",14,772,8,0,56
"388",14,775,8,0,56
"389",14,776,8,0,56
"390",14,778,8,0,56
