"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",83,84,46,2,0,0,0,0,0,0,0,0,0,0,0
"2",97,84,47,2,0,0,0,0,0,0,0,0,0,0,2
"3",52,84,40,2,0,0,0,0,0,0,0,0,0,0,0
"4",48,84,51,2,0,0,0,0,0,0,0,0,0,0,0
"5",46,112,52,3,0,0,0,0,0,0,0,0,0,0,0
"6",75,112,56,3,0,0,0,0,0,0,0,0,0,0,0
"7",38,112,42,3,0,0,0,0,0,0,0,0,0,0,0
"8",87,112,41,3,0,0,0,0,0,0,0,0,1,2,0
"9",27,140,53,4,0,0,0,0,0,0,0,0,0,0,3
"10",59,140,46,4,0,0,0,0,0,0,0,0,0,0,0
"11",39,140,47,4,0,0,0,0,0,0,0,0,0,0,0
"12",72,140,58,4,0,0,0,0,0,0,0,0,0,0,0
"13",89,168,48,5,0,0,0,0,0,0,0,0,0,0,0
"14",57,168,44,5,0,0,0,0,0,0,0,0,0,0,0
"15",22,168,44,5,0,0,0,0,0,0,0,0,0,0,0
"16",62,168,46,5,0,0,0,0,0,0,0,0,0,0,0
"17",25,196,44,6,0,0,0,0,0,0,0,0,0,0,0
"18",31,196,54,6,0,0,0,0,0,0,0,0,0,0,0
"19",95,196,51,6,0,0,0,0,0,0,0,0,0,0,0
"20",80,196,54,6,0,0,0,0,0,0,0,0,0,0,0
"21",26,224,60,7,0,0,4,39,14,1,0,0,0,0,0
"22",90,224,42,7,0,0,0,0,1,18,9,0,0,0,0
"23",14,224,58,7,0,0,0,0,0,0,0,0,0,0,0
"24",41,224,42,7,0,0,0,0,0,0,0,0,0,0,0
"25",65,252,59,8,0,0,1,0,0,0,0,0,0,0,0
"26",69,252,46,8,0,0,0,0,0,0,1,0,1,1,0
"27",66,252,54,8,0,0,0,0,2,30,16,1,0,0,0
"28",70,252,60,8,0,0,0,0,0,0,0,0,0,0,0
"29",32,280,56,9,0,0,0,0,0,0,0,0,0,0,0
"30",13,280,54,9,0,0,0,0,0,0,0,0,0,0,0
"31",99,280,45,9,0,0,0,0,0,0,0,0,0,0,0
"32",30,280,54,9,28,23,0,0,0,0,0,0,0,0,0
"33",21,308,58,10,0,0,0,0,0,0,0,0,0,0,0
"34",71,308,42,10,0,0,0,0,0,0,0,0,0,0,0
"35",68,308,56,10,0,0,0,0,0,9,40,5,1,0,0
"36",40,308,56,10,0,0,0,0,0,0,0,0,0,0,0
"37",86,336,58,11,0,0,0,0,0,0,0,0,0,0,0
"38",98,336,40,11,0,0,0,0,0,0,0,0,0,0,0
"39",61,336,50,11,0,0,0,0,0,0,0,1,1,0,0
"40",18,336,57,11,0,0,0,0,0,0,0,0,0,0,0
"41",49,364,56,12,0,0,0,0,0,0,0,0,0,0,0
"42",19,364,52,12,0,0,0,0,0,0,0,0,0,0,0
"43",79,364,52,12,0,0,0,0,1,0,0,0,0,0,0
"44",6,364,42,12,0,0,0,0,0,0,0,0,1,16,15
