"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",97,84,47,2,0,0,0,0,0,0,0,0,0,0,0
"2",3,84,48,2,0,0,0,0,1,1,0,0,0,0,0
"3",12,84,46,2,0,0,0,0,0,0,0,0,0,0,0
"4",80,84,44,2,0,0,0,0,0,0,0,0,0,0,0
"5",48,112,42,3,0,0,0,0,0,0,0,0,1,0,0
"6",65,112,48,3,0,0,0,0,0,0,0,0,1,2,1
"7",66,112,60,3,0,0,1,1,0,4,2,0,0,0,0
"8",10,112,48,3,0,0,0,0,0,0,0,0,0,0,0
"9",38,140,56,4,0,0,0,0,0,0,0,0,0,0,0
"10",59,140,40,4,0,0,0,1,0,0,0,0,0,0,0
"11",42,140,50,4,0,0,0,0,0,0,0,2,3,2,0
"12",24,140,48,4,0,0,0,0,0,0,0,0,0,0,0
"13",40,168,42,5,0,0,0,0,0,0,0,0,0,0,0
"14",23,168,50,5,22,25,0,0,0,0,0,0,0,0,0
"15",98,168,48,5,0,0,0,0,0,0,0,0,0,0,0
"16",52,168,44,5,0,0,0,0,0,0,0,0,0,0,0
"17",88,196,44,6,0,0,12,27,5,0,0,0,0,0,0
"18",100,196,60,6,0,0,0,0,0,0,0,0,0,0,0
"19",32,196,52,6,0,0,0,0,0,0,0,0,0,0,0
"20",41,196,50,6,0,0,0,0,0,0,0,0,0,0,0
"21",30,224,51,7,0,0,0,0,0,0,0,0,0,0,0
"22",62,224,44,7,0,0,0,0,0,0,0,0,0,0,0
"23",18,224,60,7,0,0,34,25,0,0,0,0,0,0,0
"24",58,224,56,7,0,0,0,0,0,0,0,0,0,0,0
"25",26,252,44,8,0,0,0,0,0,0,0,0,0,0,0
"26",64,252,48,8,0,1,36,10,0,0,0,0,0,0,0
"27",81,252,46,8,0,0,0,0,3,34,6,0,0,0,0
"28",96,252,52,8,0,0,0,0,0,0,0,0,0,0,0
"29",84,280,42,9,0,0,0,0,0,0,0,1,4,1,0
"30",29,280,52,9,0,0,0,0,0,0,0,0,0,0,0
"31",35,280,58,9,0,0,0,0,0,0,0,0,0,0,0
"32",86,280,41,9,0,0,0,0,0,0,0,0,0,0,0
"33",34,308,55,10,0,0,0,0,0,0,0,0,0,0,0
"34",37,308,41,10,0,0,0,0,0,3,19,17,1,0,0
"35",54,308,60,10,0,0,0,0,1,0,0,0,0,0,0
"36",99,308,58,10,0,0,0,0,0,0,0,0,0,0,0
"37",49,336,44,11,0,0,0,0,0,0,0,0,0,0,0
"38",75,336,52,11,0,0,0,0,10,36,5,0,0,0,0
"39",6,336,54,11,0,0,0,8,40,4,0,0,0,0,0
"40",14,336,60,11,0,0,0,0,0,0,0,0,0,0,0
"41",71,364,46,12,0,0,0,1,16,20,3,0,0,0,0
"42",92,364,54,12,0,0,0,0,11,40,3,0,0,0,0
"43",11,364,48,12,0,0,0,0,0,0,0,0,0,0,0
"44",46,364,50,12,0,0,0,0,0,0,0,0,38,11,0
