"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",53,84,50,2,0,0,0,0,0,0,1,1,0,0,0
"2",94,84,48,2,0,0,0,0,0,0,0,0,0,0,0
"3",5,84,43,2,0,0,0,0,0,0,0,0,0,0,0
"4",99,84,52,2,0,0,0,0,0,0,0,0,0,0,0
"5",10,112,48,3,0,0,0,0,0,0,0,0,0,0,0
"6",33,112,58,3,0,0,0,0,0,5,4,0,0,0,0
"7",41,112,48,3,0,0,0,0,0,0,0,0,0,0,3
"8",37,112,51,3,0,0,0,0,0,0,0,0,0,0,0
"9",19,140,43,4,0,0,0,0,0,0,0,0,0,0,0
"10",40,140,48,4,0,0,0,0,0,0,0,0,2,3,1
"11",31,140,52,4,0,7,40,4,0,0,0,0,0,0,0
"12",97,140,54,4,42,9,0,0,0,0,0,0,0,0,0
"13",43,168,55,5,0,0,0,0,0,0,0,0,0,0,0
"14",34,168,42,5,0,0,0,0,0,0,0,0,0,0,0
"15",39,168,43,5,0,0,0,0,0,0,0,0,0,0,0
"16",8,168,57,5,0,0,0,1,0,0,0,0,0,0,0
"17",98,196,47,6,0,0,0,0,0,0,0,0,0,0,0
"18",47,196,56,6,0,0,0,1,36,12,0,0,0,0,0
"19",11,196,58,6,0,0,0,0,0,0,0,1,4,0,0
"20",85,196,50,6,1,22,27,0,0,0,0,0,0,0,0
"21",52,224,50,7,0,0,0,0,0,0,0,0,0,0,0
"22",71,224,48,7,0,0,0,0,0,0,0,0,0,0,0
"23",78,224,54,7,0,0,0,0,0,0,0,0,0,0,0
"24",66,224,42,7,0,0,0,0,2,18,10,0,0,0,0
"25",32,252,48,8,0,0,0,0,0,0,0,0,0,0,0
"26",92,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"27",48,252,46,8,0,0,0,0,0,0,0,0,0,0,0
"28",56,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"29",7,280,59,9,0,0,0,0,0,0,0,0,0,0,0
"30",90,280,42,9,0,0,0,0,0,0,0,0,0,0,0
"31",3,280,42,9,0,0,0,0,0,0,0,8,7,1,0
"32",36,280,52,9,0,0,0,0,0,0,20,30,0,0,0
"33",17,308,42,10,0,0,0,0,0,0,0,0,0,0,0
"34",95,308,58,10,0,0,0,0,0,0,0,0,0,0,0
"35",22,308,48,10,0,0,0,0,0,0,0,0,0,0,0
"36",21,308,49,10,0,0,0,0,0,0,0,0,0,0,0
"37",100,336,50,11,0,0,0,0,0,0,0,0,0,0,0
"38",1,336,53,11,0,0,0,0,0,0,1,0,0,0,0
"39",50,336,58,11,0,0,0,0,0,0,0,0,0,0,1
"40",42,336,41,11,0,0,0,0,0,0,0,0,0,0,0
"41",96,364,54,12,0,0,0,0,0,0,0,3,45,5,0
"42",20,364,54,12,0,0,0,10,40,2,0,0,0,0,0
"43",38,364,48,12,0,0,0,0,0,0,0,0,1,11,30
"44",23,364,47,12,0,1,11,31,3,0,0,0,0,0,0
