"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",33,84,46,2,0,0,0,0,0,0,0,0,0,0,0
"2",93,84,44,2,0,0,0,0,0,0,0,0,0,0,0
"3",76,84,50,2,0,0,0,0,0,0,0,0,0,0,0
"4",30,84,52,2,0,0,0,0,0,0,0,0,0,0,0
"5",97,112,40,3,0,0,0,0,0,0,0,0,0,0,0
"6",63,112,44,3,0,0,0,0,0,0,0,0,0,0,0
"7",98,112,52,3,0,0,0,0,0,0,0,0,0,0,0
"8",36,112,56,3,0,0,0,0,0,0,0,0,0,0,0
"9",96,140,46,4,0,0,0,0,0,0,0,0,0,0,0
"10",41,140,58,4,0,0,0,0,0,0,0,0,0,0,0
"11",50,140,43,4,0,0,0,0,0,0,0,0,0,0,0
"12",65,140,48,4,0,0,0,0,0,0,0,0,0,0,0
"13",84,168,58,5,0,0,0,0,0,0,0,0,0,2,0
"14",85,168,48,5,1,22,24,0,0,0,0,0,0,0,0
"15",27,168,54,5,0,0,0,0,0,0,0,0,0,0,0
"16",44,168,58,5,0,0,0,0,0,0,0,0,0,0,0
"17",83,196,60,6,0,0,0,0,0,0,0,0,0,0,0
"18",1,196,45,6,0,0,0,0,0,0,0,0,0,0,0
"19",5,196,50,6,0,0,0,0,0,0,0,0,0,0,0
"20",66,196,42,6,11,28,0,0,0,0,0,0,0,0,0
"21",45,224,60,7,0,0,0,0,0,0,0,0,0,0,0
"22",11,224,48,7,0,0,0,0,0,0,0,2,2,0,0
"23",6,224,50,7,0,0,0,0,0,0,0,0,0,0,0
"24",25,224,45,7,0,0,0,0,0,0,0,0,0,0,0
"25",28,252,49,8,0,0,0,0,0,0,0,0,0,0,0
"26",39,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"27",7,252,53,8,0,0,0,0,0,0,0,0,0,0,0
"28",73,252,52,8,0,0,0,0,0,0,0,0,0,0,0
"29",8,280,48,9,0,0,0,0,0,0,0,0,0,0,0
"30",40,280,56,9,0,0,0,0,0,0,0,0,0,0,0
"31",80,280,50,9,0,0,0,0,0,11,32,3,0,0,0
"32",49,280,54,9,0,0,0,0,0,0,0,0,2,3,0
"33",62,308,60,10,0,0,0,0,0,0,0,0,0,0,0
"34",32,308,48,10,0,0,0,0,0,0,5,37,5,0,0
"35",20,308,54,10,0,0,0,0,0,0,0,0,0,0,0
"36",87,308,52,10,0,0,0,0,0,0,0,0,0,0,0
"37",61,336,45,11,0,0,0,0,0,0,0,0,0,0,0
"38",2,336,48,11,0,0,0,0,0,0,0,0,0,0,0
"39",34,336,50,11,0,0,0,0,0,0,0,0,0,0,0
"40",56,336,50,11,0,0,0,0,0,0,0,0,0,0,0
"41",48,364,44,12,0,0,0,0,0,0,0,0,0,0,0
"42",67,364,56,12,0,0,0,0,0,0,0,0,0,0,0
"43",19,364,45,12,0,0,0,0,0,0,0,0,0,0,0
"44",77,364,46,12,0,0,0,0,0,0,2,19,21,0,0
