"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",10,84,41,2,0,0,0,0,0,0,0,0,0,0,0
"2",35,84,54,2,0,0,0,0,0,0,0,0,0,0,0
"3",18,84,41,2,0,0,0,0,0,0,0,0,0,0,0
"4",63,84,47,2,0,0,0,0,0,0,0,1,0,5,0
"5",29,112,47,3,0,0,0,0,0,0,1,1,0,0,0
"6",48,112,52,3,0,0,0,0,0,0,0,0,0,0,0
"7",26,112,42,3,0,0,0,0,0,0,0,0,0,0,0
"8",9,112,50,3,0,0,0,0,0,0,0,0,0,0,0
"9",24,140,42,4,0,0,0,0,0,0,0,0,0,0,0
"10",99,140,54,4,0,0,0,0,0,0,0,0,0,0,0
"11",69,140,44,4,2,17,24,0,0,0,0,0,0,0,0
"12",60,140,51,4,0,0,0,0,0,0,0,0,0,0,0
"13",50,168,46,5,0,0,0,0,0,0,0,0,0,0,0
"14",17,168,44,5,0,0,0,0,0,0,0,0,1,0,1
"15",2,168,48,5,0,14,30,2,0,0,0,0,0,0,0
"16",61,168,53,5,0,0,0,0,0,0,0,0,0,0,0
"17",56,196,55,6,0,0,8,45,1,0,0,0,0,0,0
"18",55,196,48,6,0,0,0,0,0,0,0,0,0,0,0
"19",90,196,47,6,0,0,0,0,0,0,0,0,0,0,0
"20",81,196,42,6,0,0,0,0,0,0,0,0,0,0,0
"21",93,224,48,7,0,0,0,0,0,0,0,0,0,0,0
"22",13,224,56,7,0,0,0,0,0,13,11,1,0,0,0
"23",82,224,48,7,0,0,0,0,0,0,0,0,0,0,0
"24",78,224,59,7,0,0,0,0,0,0,0,0,0,0,0
"25",23,252,59,8,0,0,0,0,0,0,0,0,0,0,0
"26",20,252,50,8,0,0,0,0,0,0,0,0,0,0,0
"27",96,252,41,8,0,0,0,0,0,0,0,0,0,0,0
"28",4,252,60,8,0,0,0,0,0,0,0,0,0,0,0
"29",39,280,58,9,0,0,0,0,0,0,0,0,0,0,0
"30",76,280,50,9,0,0,0,0,0,0,0,16,13,0,0
"31",45,280,53,9,0,0,0,0,0,0,0,16,18,0,0
"32",95,280,58,9,4,47,4,0,0,0,0,0,0,0,0
"33",86,308,52,10,0,0,0,0,0,0,2,37,13,0,0
"34",94,308,56,10,0,0,0,0,0,0,0,0,0,0,0
"35",51,308,44,10,0,0,0,0,0,0,0,0,0,0,0
"36",34,308,46,10,0,0,0,0,0,0,0,0,0,0,0
"37",7,336,45,11,0,0,0,0,0,2,21,8,8,1,0
"38",21,336,46,11,0,0,0,0,0,0,0,0,0,0,0
"39",12,336,46,11,0,0,0,0,0,0,0,0,0,0,0
"40",59,336,58,11,0,0,0,0,0,0,0,0,0,0,0
"41",79,364,50,12,0,0,0,0,0,0,0,0,0,0,0
"42",62,364,52,12,0,0,0,0,0,0,0,0,0,0,0
"43",37,364,55,12,0,0,0,0,0,0,0,0,0,2,46
"44",33,364,60,12,0,0,0,0,0,0,0,0,1,14,37
