t,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,
32,0.13804,0.1651,0.17646,0.18832,0.18998,0.18896,0.19046,0.19356,0.1924,0.18998,0.19056,0.19086,0.18984,0.18778,0.18826,0.19032,0.18702,0.1842,0.1859,0.18616,0.1843,0.1839,0.18542,0.18524,0.18506,0.18378,0.18416,0.18388,0.1845,0.1828,0.18236,0.18304,0.18306,0.18418,0.18246,0.18374,0.18628,0.18454,0.12100199673261935,0.2,
33,0.15868,0.18936,0.20096,0.20926,0.21208,0.21692,0.21426,0.21742,0.21644,0.21654,0.21744,0.21616,0.2164,0.21628,0.2158,0.21336,0.21704,0.2175,0.21288,0.21398,0.21622,0.21232,0.21332,0.21384,0.21404,0.2154,0.21176,0.21398,0.21368,0.21276,0.21276,0.21622,0.2154,0.21656,0.2195,0.21938,0.22158,0.2222,0.1505173352695589,0.24,
34,0.1814,0.20676,0.2273,0.23136,0.23766,0.2355,0.24206,0.24064,0.24312,0.24286,0.23936,0.2409,0.24252,0.23742,0.238,0.24138,0.24206,0.23844,0.23748,0.23774,0.2392,0.2387,0.23848,0.24,0.24056,0.24036,0.24124,0.24148,0.24064,0.24138,0.24138,0.24214,0.24514,0.24744,0.246,0.24722,0.24912,0.25062,0.1945543655835905,0.26,
35,0.18982,0.22996,0.24366,0.25446,0.26416,0.26358,0.27246,0.27028,0.27438,0.27118,0.27612,0.27354,0.2754,0.27448,0.27586,0.27488,0.27268,0.27574,0.27624,0.2752,0.27556,0.27466,0.27502,0.27552,0.27516,0.27444,0.27464,0.27454,0.2734,0.2744,0.27452,0.27508,0.27318,0.27172,0.274,0.27288,0.27516,0.2774,0.26923216554728624,0.29,
36,0.2159,0.25286,0.27698,0.2872,0.2938,0.29978,0.30316,0.30662,0.30494,0.30992,0.31028,0.3112,0.30914,0.31218,0.31096,0.31542,0.31218,0.31324,0.31144,0.31214,0.3131,0.31236,0.30962,0.31066,0.31124,0.30988,0.30896,0.31032,0.30856,0.30986,0.3106,0.30796,0.30652,0.30362,0.30426,0.30244,0.29996,0.29758,0.3237611181702668,0.34,
37,0.23178,0.28434,0.30468,0.3168,0.324,0.33802,0.33954,0.34194,0.34808,0.34434,0.34608,0.35034,0.34924,0.34878,0.35248,0.3534,0.35334,0.35468,0.35318,0.35384,0.35304,0.35364,0.35498,0.35322,0.355,0.35528,0.35724,0.35652,0.35868,0.35966,0.35908,0.36264,0.36258,0.36098,0.36358,0.3634,0.3636,0.3639,0.3545834089671447,0.4,
38,0.26388,0.31438,0.34436,0.35184,0.36406,0.37006,0.377,0.38226,0.3876,0.38942,0.39222,0.39098,0.3951,0.39662,0.39624,0.3951,0.39348,0.39662,0.39782,0.39418,0.39624,0.4006,0.3976,0.39994,0.40024,0.39992,0.4007,0.39816,0.4,0.40244,0.40086,0.40216,0.40456,0.4052,0.40384,0.40234,0.40484,0.40046,0.3935741513886368,0.44,
39,0.29008,0.35284,0.37598,0.39602,0.4016,0.4117,0.41716,0.42484,0.42122,0.43182,0.42816,0.42902,0.43372,0.43166,0.43106,0.43682,0.43658,0.4405,0.4394,0.43674,0.43722,0.43658,0.43814,0.43554,0.4382,0.43894,0.4392,0.43806,0.43872,0.43826,0.43836,0.4357,0.43878,0.43734,0.43998,0.43858,0.44166,0.4414,0.425957524051552,0.49,
40,0.324,0.3893,0.41472,0.43176,0.4416,0.44928,0.45588,0.46356,0.46188,0.4637,0.46506,0.46914,0.46994,0.47256,0.47546,0.47234,0.4726,0.47646,0.47526,0.475,0.47718,0.4792,0.47808,0.47552,0.47502,0.47756,0.4773,0.47628,0.47574,0.47614,0.47444,0.47822,0.4734,0.47364,0.4705,0.4814,0.48468,0.4927,0.4713015066255219,0.53,
