t,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,
32,0.07662,0.08066,0.1019,0.08906,0.08992,0.08902,0.09372,0.08942,0.09318,0.08896,0.09506,0.09306,0.09196,0.09152,0.09282,0.0933,0.0934,0.09242,0.09278,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,
33,0.08036,0.0825,0.1035,0.08812,0.09084,0.09218,0.09026,0.0898,0.09164,0.09086,0.08828,0.08976,0.08872,0.09008,0.09182,0.08844,0.0896,0.08938,0.08774,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,
34,0.08164,0.08914,0.11146,0.09738,0.09376,0.096,0.09666,0.09644,0.09668,0.097,0.095,0.09486,0.09346,0.09106,0.0901,0.08726,0.08614,0.08424,0.08296,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,
35,0.08162,0.09322,0.10988,0.09876,0.1027,0.10708,0.1035,0.10452,0.1053,0.10182,0.10174,0.1034,0.10178,0.09822,0.09844,0.1028,0.1034,0.10894,0.11204,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,
36,0.08418,0.13594,0.11406,0.11584,0.11808,0.11878,0.12576,0.12246,0.12452,0.1247,0.1261,0.12544,0.12846,0.12158,0.12978,0.12996,0.13686,0.13904,0.14624,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,
37,0.08968,0.14416,0.12622,0.12744,0.1311,0.1302,0.13158,0.13324,0.1296,0.1261,0.12406,0.11912,0.11384,0.11008,0.10644,0.10478,0.09972,0.0919,0.08058,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,
38,0.094,0.11166,0.13398,0.133,0.1362,0.13978,0.14138,0.13992,0.14958,0.13852,0.14652,0.14312,0.14256,0.14142,0.13976,0.1401,0.13778,0.14048,0.14234,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,
39,0.09924,0.12012,0.14438,0.14382,0.14978,0.15528,0.1619,0.164,0.1703,0.1708,0.16962,0.1699,0.16716,0.17404,0.17388,0.1733,0.17454,0.18202,0.18212,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
40,0.10044,0.12122,0.14588,0.14736,0.1408,0.15102,0.15408,0.15356,0.15802,0.15706,0.16962,0.16574,0.16478,0.1671,0.16792,0.1687,0.16746,0.16912,0.1693,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
