0_1_501_200_2,1_1_483_200_0,2_0_503_200_0,3_1_483_200_12,4_0_517_200_2,5_1_502_200_0,6_1_505_200_24,7_0_519_200_14,8_1_514_200_0,9_1_499_200_0,10_0_488_200_0,11_1_502_200_7,12_0_507_200_0,13_1_491_200_3,14_0_484_200_10,15_0_493_200_2,16_0_485_200_24,17_1_491_200_1,18_0_508_200_0,19_0_509_200_10,
0_1_491_200_1,1_0_480_200_0,2_1_501_200_5,3_1_497_200_10,4_0_496_200_0,5_1_492_200_0,6_1_500_200_6,7_0_484_200_2,8_0_501_200_0,9_0_506_200_5,10_0_514_200_11,11_1_480_200_0,12_1_513_200_0,13_1_497_200_11,14_0_515_200_22,15_1_480_200_8,16_0_518_200_0,17_0_505_200_4,18_0_499_200_0,19_1_512_200_0,
0_0_513_200_7,1_0_505_200_0,2_0_499_200_3,3_1_493_200_0,4_0_483_200_8,5_0_493_200_0,6_1_492_200_11,7_0_520_200_4,8_1_491_200_3,9_1_520_200_2,10_0_493_200_0,11_1_505_200_0,12_0_502_200_9,13_0_483_200_1,14_1_500_200_4,15_1_504_200_26,16_0_491_200_7,17_1_513_200_0,18_1_488_200_0,19_1_502_200_0,
0_1_496_199_11,1_0_519_200_2,2_0_488_200_2,3_1_484_200_3,4_1_500_200_1,5_1_503_200_18,6_0_503_200_0,7_1_480_200_11,8_1_507_200_0,9_0_497_200_7,10_0_512_200_14,11_0_515_200_0,12_1_494_200_1,13_0_512_200_5,14_0_510_200_12,15_0_516_200_8,16_0_482_200_4,17_1_494_200_13,18_1_508_200_17,19_1_489_200_0,
0_1_486_200_0,1_1_489_200_0,2_0_481_200_9,3_1_487_200_0,4_1_507_200_2,5_0_488_200_1,6_0_516_200_0,7_0_501_200_0,8_1_483_200_11,9_1_519_200_9,10_1_486_200_13,11_1_480_200_0,12_1_505_200_1,13_0_504_200_5,14_0_498_200_0,15_0_517_200_3,16_0_509_200_15,17_1_507_200_19,18_0_494_200_2,19_0_510_200_3,
0_0_482_199_10,1_1_511_200_6,2_1_510_200_12,3_1_500_200_2,4_1_487_200_0,5_1_484_200_3,6_0_516_200_0,7_0_520_200_2,8_0_507_200_0,9_1_500_200_0,10_0_505_200_7,11_1_519_200_4,12_0_500_200_0,13_1_500_200_0,14_1_516_200_10,15_0_516_200_0,16_0_512_200_7,17_0_508_200_11,18_1_511_200_0,19_0_519_200_0,
0_0_500_200_0,1_0_487_200_5,2_1_512_200_0,3_0_507_200_9,4_1_493_200_0,5_1_491_200_5,6_0_494_200_17,7_0_499_200_5,8_1_516_200_12,9_1_519_200_17,10_1_500_200_7,11_1_501_200_3,12_0_488_200_6,13_1_506_200_7,14_0_489_200_0,15_0_495_200_15,16_0_488_200_21,17_1_487_200_7,18_0_488_200_7,19_1_502_200_0,
0_1_504_199_1,1_0_509_200_7,2_0_509_200_1,3_0_516_200_3,4_0_517_200_0,5_1_505_200_10,6_0_504_200_0,7_1_496_200_0,8_1_486_200_18,9_1_492_200_0,10_0_481_200_7,11_1_507_200_12,12_0_515_200_6,13_1_507_200_10,14_0_486_200_0,15_1_504_200_8,16_0_492_200_0,17_1_491_200_10,18_1_519_200_12,19_0_486_200_6,
0_1_509_200_4,1_1_492_200_6,2_1_508_200_0,3_1_504_200_0,4_1_480_200_0,5_1_506_200_11,6_0_488_200_10,7_0_493_200_0,8_1_497_200_0,9_0_489_200_0,10_0_518_200_19,11_0_485_200_2,12_0_518_200_3,13_1_506_200_0,14_1_506_200_11,15_0_485_200_6,16_0_486_200_6,17_1_502_200_7,18_0_487_200_6,19_0_509_200_0,
0_0_501_199_4,1_0_498_200_9,2_1_488_200_9,3_0_482_200_0,4_0_510_200_21,5_0_489_200_0,6_1_498_200_2,7_1_512_200_10,8_0_481_200_7,9_1_508_200_9,10_1_518_200_0,11_1_520_200_12,12_0_500_200_0,13_0_495_200_11,14_1_492_200_8,15_0_514_200_9,16_1_498_200_1,17_1_487_200_0,18_1_505_200_0,19_0_497_200_10,
0_0_494_200_3,1_1_514_200_4,2_0_493_200_12,3_1_506_200_3,4_1_517_200_6,5_0_502_200_15,6_1_490_200_0,7_1_492_200_2,8_1_512_200_9,9_1_508_200_0,10_0_518_200_3,11_0_498_200_5,12_1_501_200_8,13_0_483_200_0,14_0_507_200_1,15_0_485_200_7,16_1_488_200_0,17_0_496_200_0,18_1_517_200_6,19_0_508_200_21,
0_0_489_200_3,1_0_514_200_0,2_1_489_200_0,3_1_483_200_0,4_1_505_200_0,5_1_512_200_1,6_0_510_200_29,7_0_514_200_12,8_1_505_200_19,9_1_519_200_0,10_0_491_200_0,11_0_503_200_0,12_1_520_200_10,13_1_518_200_0,14_1_484_200_0,15_0_501_200_0,16_0_495_200_15,17_0_495_200_19,18_0_514_200_0,19_1_512_200_12,
0_1_489_199_1,1_0_514_200_5,2_0_499_200_0,3_0_519_200_0,4_0_512_200_0,5_1_497_200_0,6_0_502_200_0,7_0_481_200_17,8_1_484_200_0,9_1_494_200_6,10_1_495_200_0,11_1_487_200_7,12_0_505_200_19,13_0_496_200_11,14_1_518_200_5,15_0_492_200_0,16_1_507_200_2,17_1_501_200_3,18_0_503_200_0,19_1_503_200_5,
0_0_492_199_0,1_0_495_200_6,2_0_492_200_2,3_0_509_200_0,4_1_495_200_0,5_1_498_200_3,6_0_504_200_11,7_0_517_200_0,8_1_483_200_0,9_0_487_200_0,10_0_484_200_18,11_1_491_200_6,12_1_505_200_1,13_1_485_200_0,14_1_503_200_0,15_0_510_200_0,16_1_510_200_7,17_1_516_200_0,18_1_515_200_26,19_0_488_200_0,
0_0_490_200_12,1_0_494_200_15,2_1_512_200_2,3_1_511_200_6,4_0_484_200_3,5_1_497_200_7,6_0_503_200_4,7_1_511_200_10,8_1_513_200_4,9_1_513_200_2,10_0_508_200_9,11_0_519_200_4,12_0_510_200_0,13_1_494_200_18,14_1_515_200_7,15_1_494_200_0,16_0_511_200_12,17_0_519_200_14,18_1_498_200_0,19_0_493_200_2,
0_0_480_199_3,1_0_505_200_0,2_0_491_200_16,3_0_507_200_0,4_1_500_200_3,5_1_480_200_4,6_1_483_200_11,7_0_490_200_12,8_1_499_200_5,9_0_501_200_6,10_0_490_200_0,11_0_516_200_0,12_1_495_200_0,13_0_505_200_7,14_1_499_200_13,15_1_487_200_4,16_1_485_200_0,17_0_497_200_13,18_1_496_200_10,19_1_483_200_4,
0_0_493_200_0,1_1_514_200_11,2_0_495_200_11,3_0_504_200_0,4_0_507_200_15,5_1_492_200_0,6_1_486_200_0,7_1_510_200_0,8_0_496_200_8,9_0_506_200_1,10_1_489_200_0,11_1_514_200_11,12_1_490_200_0,13_0_481_200_1,14_0_495_200_25,15_0_512_200_0,16_1_483_200_6,17_1_492_200_4,18_1_513_200_3,19_0_486_200_9,
0_0_482_199_9,1_1_487_200_11,2_0_516_200_1,3_1_516_200_10,4_1_480_200_8,5_0_506_200_5,6_0_502_200_19,7_0_513_200_3,8_0_483_200_0,9_0_505_200_17,10_1_482_200_0,11_1_497_200_0,12_0_497_200_0,13_0_502_200_12,14_1_496_200_10,15_1_510_200_7,16_1_510_200_12,17_0_509_200_0,18_1_490_200_3,19_1_512_200_14,
0_1_513_200_18,1_0_501_200_0,2_0_518_200_0,3_1_488_200_0,4_0_497_200_0,5_1_500_200_12,6_0_516_200_15,7_0_500_200_4,8_1_516_200_0,9_0_489_200_5,10_1_517_200_0,11_0_486_200_1,12_0_497_200_3,13_1_493_200_6,14_0_481_200_5,15_1_492_200_11,16_0_513_200_0,17_1_503_200_1,18_1_486_200_5,19_1_495_200_0,
0_0_507_199_0,1_0_495_200_2,2_0_510_200_11,3_1_517_200_0,4_0_510_200_8,5_1_481_200_2,6_1_481_200_0,7_1_482_200_6,8_0_509_200_0,9_0_484_200_6,10_0_493_200_0,11_0_503_200_22,12_1_495_200_6,13_1_499_200_23,14_1_499_200_2,15_1_487_200_10,16_0_484_200_12,17_1_507_200_17,18_0_484_200_1,19_1_483_200_15,
0_0_483_200_5,1_0_493_200_11,2_1_486_200_6,3_1_511_200_7,4_0_518_200_0,5_0_499_200_12,6_1_482_200_0,7_0_502_200_3,8_1_484_200_0,9_0_517_200_0,10_1_508_200_3,11_1_507_200_0,12_1_496_200_0,13_1_519_200_5,14_0_490_200_5,15_0_484_200_4,16_0_507_200_17,17_1_506_200_0,18_1_503_200_12,19_0_518_200_0,
0_1_509_200_9,1_0_494_200_0,2_1_513_200_17,3_1_515_200_15,4_0_501_200_0,5_1_515_200_8,6_1_491_200_6,7_0_503_200_12,8_1_505_200_10,9_0_513_200_0,10_0_510_200_0,11_1_514_200_6,12_0_501_200_0,13_0_507_200_14,14_1_492_200_2,15_0_493_200_0,16_1_519_200_0,17_0_517_200_0,18_1_491_200_8,19_0_501_200_4,
0_0_480_200_0,1_0_485_200_16,2_1_502_200_19,3_0_498_200_0,4_1_490_200_5,5_1_507_200_12,6_1_495_200_3,7_1_491_200_0,8_0_517_200_5,9_0_501_200_9,10_0_514_200_0,11_1_486_200_0,12_1_508_200_0,13_1_512_200_0,14_0_484_200_5,15_1_509_200_0,16_0_488_200_2,17_0_482_200_0,18_0_517_200_14,19_1_488_200_0,
0_1_514_199_6,1_0_504_200_4,2_0_501_200_2,3_0_497_200_0,4_1_494_200_4,5_1_491_200_0,6_1_480_200_0,7_0_505_200_0,8_1_518_200_7,9_0_504_200_0,10_0_483_200_3,11_1_494_200_10,12_0_490_200_3,13_0_489_200_4,14_1_490_200_0,15_0_501_200_0,16_1_488_200_0,17_0_520_200_1,18_1_503_200_13,19_1_515_200_4,
0_1_507_199_0,1_0_505_200_4,2_0_480_200_0,3_0_495_200_0,4_1_505_200_13,5_0_515_200_0,6_1_498_200_0,7_0_520_200_1,8_1_482_200_0,9_0_495_200_7,10_0_499_200_7,11_0_482_200_0,12_0_518_200_20,13_1_500_200_4,14_1_508_200_0,15_0_492_200_2,16_1_508_200_6,17_1_491_200_0,18_1_513_200_13,19_1_480_200_0,
0_0_518_200_0,1_0_511_200_6,2_0_488_200_7,3_1_481_200_0,4_1_502_200_16,5_0_490_200_7,6_1_508_200_0,7_1_497_200_0,8_0_491_200_0,9_0_509_200_0,10_0_512_200_0,11_1_510_200_2,12_0_501_200_2,13_0_512_200_6,14_1_508_200_12,15_1_483_200_1,16_0_497_200_0,17_1_481_200_15,18_1_511_200_4,19_1_510_200_6,
0_1_501_200_15,1_1_493_200_7,2_0_494_200_24,3_1_495_200_1,4_0_489_200_0,5_1_516_200_9,6_1_519_200_0,7_0_517_200_0,8_1_489_200_11,9_0_483_200_5,10_1_483_200_2,11_0_515_200_1,12_0_495_200_3,13_1_504_200_7,14_0_510_200_0,15_0_499_200_0,16_0_505_200_14,17_1_516_200_1,18_0_481_200_7,19_1_515_200_8,
0_0_487_199_7,1_1_503_200_7,2_0_497_200_5,3_0_510_200_19,4_0_488_200_0,5_0_503_200_3,6_1_505_200_11,7_0_516_200_0,8_1_493_200_3,9_1_494_200_2,10_1_520_200_8,11_1_482_200_4,12_0_497_200_7,13_1_504_200_9,14_0_505_200_3,15_1_504_200_20,16_0_496_200_4,17_0_502_200_3,18_1_509_200_0,19_1_510_200_15,
0_1_496_200_0,1_1_520_200_17,2_0_502_200_7,3_1_513_200_0,4_0_514_200_23,5_1_499_200_1,6_0_500_200_9,7_0_510_200_7,8_1_513_200_0,9_0_520_200_8,10_0_511_200_0,11_0_512_200_12,12_0_482_200_0,13_1_520_200_0,14_1_520_200_12,15_0_480_200_12,16_1_491_200_7,17_1_489_200_12,18_1_507_200_15,19_0_503_200_3,
0_1_487_199_0,1_1_511_200_6,2_1_504_200_6,3_0_483_200_5,4_1_503_200_0,5_1_487_200_16,6_1_486_200_0,7_0_489_200_7,8_0_503_200_0,9_1_492_200_2,10_0_513_200_18,11_0_493_200_0,12_0_487_200_1,13_0_487_200_19,14_0_519_200_1,15_0_481_200_17,16_1_502_200_5,17_1_516_200_0,18_0_508_200_0,19_1_514_200_1,
0_1_491_199_9,1_0_499_200_15,2_0_516_200_4,3_1_513_200_14,4_0_491_200_0,5_1_498_200_9,6_0_515_200_7,7_0_507_200_0,8_1_516_200_0,9_0_501_200_0,10_1_513_200_12,11_0_513_200_8,12_1_507_200_23,13_1_500_200_6,14_1_483_200_6,15_0_506_200_7,16_1_507_200_2,17_0_511_200_13,18_0_516_200_2,19_1_485_200_0,
0_0_513_200_10,1_1_516_200_10,2_0_485_200_5,3_0_519_200_4,4_1_497_200_4,5_1_504_200_0,6_1_494_200_9,7_0_497_200_0,8_1_514_200_0,9_1_502_200_0,10_1_493_200_7,11_0_492_200_0,12_0_482_200_22,13_0_485_200_0,14_1_511_200_0,15_0_497_200_0,16_1_498_200_5,17_0_496_200_1,18_0_483_200_2,19_1_500_200_4,
0_1_496_199_20,1_1_486_200_1,2_1_482_200_15,3_0_484_200_4,4_0_504_200_4,5_0_506_200_11,6_0_517_200_8,7_1_491_200_10,8_1_505_200_0,9_1_503_200_0,10_1_494_200_3,11_0_494_200_0,12_0_491_200_0,13_0_502_200_0,14_0_490_200_12,15_0_492_200_3,16_1_489_200_4,17_1_494_200_7,18_0_497_200_0,19_1_514_200_0,
0_1_503_199_3,1_0_481_200_4,2_0_496_200_3,3_0_484_200_0,4_1_505_200_5,5_1_483_200_0,6_1_502_200_17,7_0_488_200_0,8_0_513_200_0,9_1_506_200_0,10_1_495_200_3,11_0_486_200_8,12_1_493_200_11,13_1_484_200_16,14_0_512_200_6,15_0_508_200_12,16_1_506_200_7,17_0_490_200_11,18_1_496_200_3,19_0_489_200_0,
0_0_495_200_13,1_1_494_200_11,2_0_491_200_4,3_0_494_200_18,4_1_496_200_5,5_1_518_200_0,6_0_495_200_0,7_0_506_200_13,8_1_483_200_0,9_1_509_200_0,10_0_496_200_3,11_1_518_200_16,12_1_493_200_8,13_1_482_200_8,14_0_496_200_10,15_0_518_200_2,16_1_489_200_8,17_0_505_200_0,18_0_492_200_6,19_1_490_200_6,
0_1_494_200_5,1_0_508_200_6,2_0_502_200_3,3_0_484_200_13,4_0_489_200_8,5_0_486_200_12,6_0_514_200_0,7_1_511_200_4,8_1_491_200_7,9_1_493_200_4,10_1_489_200_3,11_0_492_200_8,12_1_489_200_0,13_1_486_200_3,14_0_506_200_3,15_1_493_200_8,16_0_486_200_9,17_1_491_200_0,18_0_491_200_0,19_1_482_200_0,
0_1_495_200_14,1_1_515_200_3,2_0_498_200_0,3_0_513_200_3,4_1_511_200_10,5_0_504_200_5,6_1_485_200_3,7_1_502_200_1,8_0_484_200_5,9_1_492_200_25,10_0_493_200_9,11_0_506_200_4,12_1_508_200_0,13_1_517_200_4,14_0_482_200_14,15_1_486_200_2,16_0_516_200_6,17_1_482_200_0,18_0_504_200_0,19_0_519_200_0,
0_1_515_199_0,1_0_517_200_4,2_0_516_200_20,3_1_512_200_10,4_1_492_200_0,5_1_489_200_10,6_0_485_200_1,7_0_489_200_13,8_1_482_200_8,9_0_491_200_6,10_1_507_200_3,11_1_511_200_0,12_1_493_200_8,13_1_498_200_15,14_0_493_200_7,15_0_508_200_0,16_0_482_200_11,17_0_494_200_0,18_1_486_200_5,19_0_483_200_6,
0_1_481_200_5,1_0_500_200_15,2_0_504_200_1,3_0_482_200_0,4_0_482_200_0,5_0_485_200_7,6_1_515_200_10,7_0_502_200_0,8_0_507_200_2,9_1_491_200_1,10_1_503_200_10,11_0_509_200_10,12_0_492_200_0,13_1_514_200_11,14_1_490_200_0,15_1_488_200_5,16_1_506_200_0,17_0_491_200_8,18_1_505_200_4,19_1_517_200_7,
0_0_509_200_0,1_0_484_200_19,2_1_485_200_0,3_1_500_200_0,4_1_515_200_0,5_1_515_200_9,6_1_482_200_0,7_1_492_200_5,8_1_520_200_0,9_0_492_200_14,10_0_495_200_0,11_0_512_200_7,12_0_514_200_3,13_0_485_200_0,14_0_496_200_1,15_1_489_200_8,16_0_490_200_0,17_1_498_200_6,18_1_504_200_5,19_0_490_200_0,
0_0_505_200_3,1_0_502_200_0,2_1_517_200_8,3_1_497_200_11,4_1_518_200_10,5_0_508_200_0,6_0_496_200_5,7_0_487_200_0,8_1_492_200_0,9_0_498_200_3,10_0_517_200_0,11_1_498_200_13,12_1_514_200_5,13_0_509_200_6,14_1_518_200_0,15_1_520_200_12,16_1_515_200_12,17_0_513_200_3,18_0_500_200_0,19_1_508_200_0,
0_0_500_200_0,1_0_505_200_0,2_0_496_200_7,3_0_514_200_9,4_0_510_200_9,5_1_519_200_2,6_1_510_200_0,7_1_485_200_2,8_0_497_200_13,9_1_482_200_4,10_1_490_200_7,11_0_510_200_0,12_1_505_200_0,13_0_514_200_0,14_1_495_200_16,15_1_515_200_0,16_0_508_200_3,17_1_506_200_0,18_1_481_200_3,19_0_511_200_0,
0_1_505_200_0,1_0_518_200_12,2_0_483_200_7,3_1_499_200_21,4_0_480_200_0,5_1_483_200_13,6_1_520_200_4,7_0_509_200_5,8_0_497_200_0,9_1_510_200_7,10_0_514_200_8,11_0_511_200_6,12_0_481_200_13,13_1_503_200_4,14_1_509_200_0,15_1_500_200_3,16_0_484_200_1,17_1_491_200_5,18_0_496_200_2,19_1_487_200_14,
0_0_511_200_0,1_0_502_200_6,2_0_501_200_14,3_1_513_200_0,4_1_503_200_16,5_1_517_200_3,6_0_514_200_0,7_0_513_200_15,8_1_481_200_0,9_0_515_200_4,10_0_483_200_0,11_1_489_200_0,12_1_518_200_0,13_1_486_200_13,14_1_518_200_23,15_0_510_200_0,16_0_505_200_0,17_1_487_200_0,18_0_492_200_6,19_1_484_200_0,
0_1_507_200_11,1_1_494_200_0,2_0_487_200_0,3_0_516_200_8,4_0_512_200_18,5_1_498_200_1,6_0_502_200_12,7_1_502_200_10,8_1_498_200_0,9_1_481_200_0,10_0_489_200_0,11_0_502_200_28,12_1_493_200_4,13_0_496_200_12,14_1_509_200_0,15_0_498_200_2,16_1_482_200_9,17_0_485_200_5,18_0_507_200_4,19_1_501_200_4,
0_0_510_200_0,1_0_520_200_0,2_1_499_200_3,3_0_498_200_2,4_1_485_200_5,5_0_488_200_0,6_0_516_200_11,7_1_506_200_5,8_1_517_200_7,9_1_492_200_0,10_1_503_200_7,11_1_508_200_11,12_1_517_200_0,13_0_489_200_0,14_0_500_200_0,15_1_512_200_0,16_1_519_200_2,17_0_499_200_21,18_0_519_200_4,19_0_509_200_10,
0_1_486_199_5,1_1_500_200_9,2_0_496_200_20,3_1_506_200_4,4_0_481_200_11,5_0_484_200_0,6_1_501_200_10,7_1_505_200_6,8_1_489_200_1,9_0_487_200_0,10_0_483_200_8,11_1_510_200_9,12_1_499_200_14,13_0_487_200_0,14_1_492_200_12,15_0_488_200_0,16_0_501_200_0,17_1_481_200_0,18_0_498_200_13,19_0_498_200_13,
0_0_491_199_14,1_0_508_200_9,2_1_496_200_0,3_1_516_200_16,4_1_501_200_1,5_0_516_200_6,6_1_497_200_0,7_1_483_200_8,8_0_520_200_12,9_0_484_200_13,10_0_518_200_3,11_1_504_200_6,12_1_483_200_0,13_1_483_200_0,14_1_499_200_4,15_0_508_200_0,16_0_487_200_10,17_1_488_200_13,18_0_511_200_3,19_0_497_200_10,
0_1_508_200_14,1_0_519_200_8,2_0_486_200_2,3_1_500_200_1,4_1_496_200_11,5_1_518_200_5,6_1_506_200_11,7_1_483_200_7,8_1_497_200_0,9_0_518_200_13,10_0_489_200_6,11_0_498_200_0,12_1_485_200_0,13_0_507_200_5,14_0_518_200_8,15_0_492_200_0,16_1_499_200_0,17_0_511_200_5,18_0_510_200_1,19_1_517_200_15,
0_0_517_199_10,1_0_511_200_0,2_1_483_200_1,3_0_502_200_13,4_1_490_200_7,5_1_519_200_18,6_0_485_200_2,7_0_518_200_0,8_1_517_200_0,9_1_498_200_2,10_0_489_200_8,11_0_496_200_0,12_1_485_200_15,13_0_481_200_7,14_0_504_200_13,15_1_496_200_1,16_0_494_200_14,17_1_510_200_15,18_1_500_200_0,19_1_484_200_0,
0_0_487_200_1,1_1_512_200_7,2_0_508_200_0,3_0_513_200_0,4_1_508_200_14,5_0_516_200_1,6_1_505_200_11,7_1_509_200_10,8_0_486_200_0,9_0_498_200_1,10_0_514_200_3,11_1_486_200_8,12_1_510_200_0,13_0_499_200_10,14_1_518_200_16,15_0_508_200_0,16_1_491_200_9,17_1_511_200_2,18_1_508_200_0,19_0_499_200_14,
0_0_502_199_3,1_0_502_200_0,2_1_487_200_0,3_1_497_200_9,4_1_480_200_4,5_1_501_200_12,6_1_501_200_1,7_1_487_200_15,8_1_485_200_3,9_0_505_200_0,10_1_501_200_0,11_0_520_200_0,12_0_514_200_12,13_0_483_200_6,14_0_489_200_0,15_0_490_200_17,16_0_500_200_0,17_1_492_200_6,18_1_505_200_7,19_0_498_200_4,
0_1_503_200_7,1_1_489_200_11,2_1_496_200_0,3_1_518_200_0,4_0_506_200_0,5_1_513_200_4,6_0_507_200_1,7_1_482_200_3,8_0_482_200_6,9_1_520_200_22,10_0_494_200_10,11_0_518_200_1,12_0_507_200_4,13_0_485_200_5,14_0_483_200_7,15_0_498_200_0,16_1_519_200_0,17_1_492_200_10,18_1_493_200_0,19_0_497_200_8,
0_1_502_200_13,1_0_486_200_7,2_1_520_200_12,3_1_491_200_1,4_0_491_200_0,5_1_498_200_3,6_1_518_200_0,7_0_495_200_14,8_1_492_200_7,9_0_484_200_1,10_1_514_200_26,11_0_513_200_4,12_0_486_200_5,13_0_520_200_14,14_1_504_200_1,15_1_487_200_0,16_0_511_200_0,17_0_490_200_0,18_0_518_200_11,19_1_496_200_19,
0_0_518_199_4,1_1_496_200_5,2_1_506_200_4,3_0_490_200_0,4_0_505_200_0,5_1_482_200_0,6_0_510_200_0,7_1_485_200_0,8_0_491_200_11,9_1_506_200_15,10_1_482_200_15,11_0_513_200_0,12_0_509_200_0,13_0_498_200_11,14_0_486_200_0,15_1_496_200_2,16_1_507_200_13,17_1_497_200_16,18_1_482_200_1,19_0_490_200_5,
0_1_489_200_0,1_0_504_200_0,2_1_508_200_10,3_0_520_200_8,4_0_484_200_11,5_0_519_200_2,6_1_517_200_3,7_1_494_200_8,8_1_497_200_8,9_0_483_200_1,10_1_509_200_0,11_1_481_200_8,12_0_491_200_12,13_1_498_200_0,14_0_481_200_0,15_1_516_200_1,16_0_514_200_5,17_0_509_200_0,18_1_509_200_10,19_0_494_200_1,
0_0_507_200_3,1_1_520_200_3,2_1_509_200_0,3_0_509_200_0,4_0_481_200_2,5_1_489_200_2,6_1_507_200_5,7_1_486_200_6,8_0_504_200_3,9_0_506_200_14,10_1_510_200_18,11_0_480_200_0,12_0_504_200_7,13_0_506_200_2,14_0_498_200_14,15_1_505_200_16,16_1_490_200_0,17_1_498_200_6,18_0_505_200_15,19_1_504_200_0,
0_0_513_199_1,1_0_495_200_1,2_1_500_200_6,3_1_491_200_8,4_0_511_200_10,5_1_491_200_0,6_1_516_200_10,7_1_513_200_6,8_0_493_200_0,9_0_488_200_0,10_1_507_200_0,11_0_517_200_4,12_0_499_200_12,13_0_517_200_3,14_1_505_200_15,15_1_512_200_0,16_1_512_200_0,17_1_481_200_9,18_0_505_200_8,19_0_487_200_11,
0_0_486_200_20,1_1_486_200_2,2_0_497_200_0,3_0_487_200_1,4_0_517_200_0,5_0_488_200_8,6_0_509_200_9,7_1_490_200_16,8_1_495_200_0,9_0_500_200_1,10_1_496_200_5,11_1_491_200_0,12_0_506_200_2,13_0_486_200_1,14_1_500_200_0,15_1_499_200_0,16_1_520_200_0,17_0_515_200_7,18_1_508_200_0,19_1_505_200_0,
0_1_518_200_8,1_0_518_200_0,2_1_490_200_0,3_0_498_200_2,4_1_496_200_0,5_0_511_200_16,6_1_488_200_7,7_1_505_200_13,8_1_492_200_13,9_0_520_200_24,10_1_507_200_4,11_1_497_200_15,12_0_492_200_14,13_0_497_200_5,14_0_495_200_1,15_0_485_200_1,16_0_506_200_1,17_1_501_200_7,18_1_499_200_20,19_0_505_200_0,
0_0_491_200_8,1_1_517_200_5,2_0_488_200_5,3_0_497_200_5,4_1_483_200_9,5_0_480_200_8,6_1_513_200_2,7_0_508_200_0,8_0_516_200_10,9_0_498_200_0,10_0_506_200_1,11_1_501_200_11,12_0_492_200_9,13_1_511_200_13,14_1_519_200_9,15_1_508_200_3,16_0_513_200_4,17_1_501_200_6,18_1_519_200_0,19_1_487_200_0,
0_1_506_200_14,1_1_490_200_10,2_1_507_200_7,3_1_512_200_8,4_0_510_200_7,5_0_518_200_1,6_1_490_200_15,7_0_513_200_0,8_0_513_200_9,9_0_494_200_4,10_1_501_200_15,11_1_503_200_8,12_0_489_200_18,13_0_498_200_20,14_1_489_200_5,15_0_480_200_4,16_0_486_200_3,17_1_501_200_13,18_1_486_200_10,19_0_485_200_0,
0_0_502_199_4,1_0_494_200_0,2_0_495_200_0,3_1_503_200_4,4_1_503_200_0,5_1_511_200_0,6_1_516_200_6,7_1_507_200_0,8_0_513_200_12,9_0_497_200_0,10_0_500_200_0,11_1_506_200_7,12_1_491_200_0,13_1_505_200_12,14_1_493_200_5,15_0_497_200_13,16_0_483_200_3,17_0_483_200_8,18_0_512_200_16,19_1_490_200_18,
0_0_497_199_0,1_1_518_200_14,2_1_508_200_0,3_0_490_200_4,4_0_520_200_2,5_1_518_200_0,6_0_515_200_17,7_0_520_200_6,8_0_484_200_0,9_1_505_200_8,10_0_509_200_0,11_0_502_200_10,12_1_499_200_5,13_0_484_200_2,14_1_487_200_11,15_0_504_200_9,16_1_503_200_3,17_1_488_200_0,18_1_501_200_5,19_1_502_200_9,
0_0_485_200_19,1_1_504_200_13,2_1_496_200_12,3_1_487_200_0,4_1_501_200_20,5_0_486_200_0,6_1_490_200_3,7_0_481_200_3,8_0_496_200_15,9_0_514_200_0,10_0_507_200_0,11_1_501_200_0,12_0_486_200_5,13_0_480_200_11,14_1_516_200_0,15_0_497_200_21,16_1_493_200_12,17_1_516_200_15,18_0_488_200_8,19_1_483_200_1,
0_1_483_200_0,1_0_518_200_3,2_1_497_200_11,3_0_504_200_7,4_1_505_200_3,5_0_497_200_5,6_1_518_200_0,7_1_494_200_0,8_0_509_200_13,9_0_494_200_16,10_0_509_200_1,11_0_507_200_10,12_1_502_200_7,13_1_482_200_0,14_1_482_200_0,15_0_486_200_0,16_1_483_200_5,17_0_518_200_14,18_0_517_200_4,19_1_483_200_15,
0_0_511_199_7,1_0_520_200_17,2_0_508_200_10,3_1_519_200_0,4_1_495_200_7,5_1_488_200_0,6_1_512_200_9,7_1_508_200_0,8_0_482_200_18,9_0_491_200_0,10_0_483_200_6,11_1_501_200_1,12_1_520_200_14,13_1_520_200_14,14_0_502_200_0,15_1_489_200_0,16_0_519_200_7,17_0_481_200_4,18_0_514_200_13,19_1_481_200_3,
0_0_512_200_7,1_1_499_200_11,2_0_513_200_8,3_0_515_200_0,4_1_489_200_7,5_0_492_200_4,6_1_517_200_12,7_1_504_200_18,8_1_485_200_8,9_0_510_200_16,10_0_498_200_0,11_1_502_200_0,12_0_492_200_16,13_1_500_200_5,14_1_503_200_1,15_0_500_200_7,16_1_491_200_10,17_1_501_200_6,18_0_512_200_11,19_0_499_200_0,
0_1_492_199_7,1_1_517_200_0,2_0_518_200_0,3_0_519_200_0,4_0_515_200_7,5_0_483_200_11,6_1_519_200_19,7_0_510_200_0,8_1_516_200_3,9_0_518_200_7,10_1_492_200_11,11_1_499_200_0,12_0_485_200_1,13_0_510_200_7,14_0_517_200_0,15_1_514_200_0,16_0_489_200_0,17_1_518_200_0,18_1_517_200_16,19_1_484_200_0,
