0_1_495_200_0,1_0_501_200_0,2_0_500_200_3,3_1_497_200_2,4_0_481_200_8,5_1_483_200_12,6_1_488_200_0,7_0_514_200_0,8_0_503_200_4,9_1_494_200_5,10_0_497_200_8,11_0_517_200_2,12_1_517_200_5,13_0_497_200_0,14_1_495_200_20,15_1_497_200_8,16_1_497_200_11,17_0_513_200_16,18_0_501_200_0,19_1_495_200_0,
0_0_515_199_3,1_0_496_200_0,2_0_499_200_0,3_1_502_200_13,4_1_510_200_16,5_0_500_200_0,6_0_494_200_0,7_1_503_200_20,8_0_513_200_3,9_0_504_200_0,10_1_502_200_3,11_1_484_200_9,12_0_484_200_0,13_0_513_200_15,14_1_500_200_22,15_1_516_200_7,16_0_511_200_2,17_1_487_200_0,18_1_493_200_0,19_1_481_200_0,
0_1_502_199_6,1_0_487_200_0,2_1_486_200_0,3_1_486_200_4,4_1_513_200_0,5_0_508_200_22,6_1_485_200_8,7_0_502_200_4,8_1_504_200_4,9_0_500_200_0,10_1_505_200_1,11_0_487_200_0,12_0_497_200_5,13_1_515_200_23,14_0_517_200_0,15_0_489_200_11,16_1_483_200_12,17_1_484_200_8,18_0_499_200_0,19_0_495_200_11,
0_1_506_200_2,1_0_481_200_4,2_0_500_200_0,3_1_498_200_2,4_1_502_200_0,5_1_486_200_9,6_0_499_200_11,7_0_493_200_12,8_1_486_200_4,9_0_499_200_0,10_1_491_200_0,11_1_517_200_22,12_1_484_200_15,13_0_485_200_15,14_0_487_200_0,15_0_484_200_5,16_1_516_200_6,17_1_485_200_0,18_0_519_200_0,19_0_502_200_14,
0_0_494_200_0,1_1_520_200_10,2_0_489_200_6,3_1_494_200_0,4_1_513_200_0,5_0_520_200_26,6_1_518_200_6,7_1_517_200_16,8_0_499_200_4,9_1_508_200_19,10_1_511_200_0,11_0_495_200_6,12_1_511_200_13,13_0_502_200_5,14_0_504_200_3,15_0_494_200_0,16_1_490_200_12,17_0_494_200_0,18_0_488_200_1,19_1_500_200_2,
0_1_500_200_0,1_0_489_200_0,2_1_506_200_0,3_0_508_200_0,4_1_487_200_16,5_0_485_200_0,6_1_514_200_2,7_0_497_200_22,8_1_511_200_9,9_0_513_200_4,10_1_513_200_28,11_0_512_200_1,12_0_491_200_0,13_1_486_200_5,14_0_501_200_0,15_1_481_200_1,16_0_483_200_12,17_1_519_200_2,18_0_512_200_0,19_1_488_200_0,
0_1_514_200_13,1_0_494_200_6,2_1_501_200_0,3_1_506_200_0,4_0_482_200_6,5_1_519_200_3,6_0_518_200_0,7_0_481_200_0,8_1_513_200_14,9_0_510_200_0,10_0_495_200_4,11_1_516_200_7,12_0_514_200_5,13_0_505_200_3,14_1_501_200_1,15_1_497_200_3,16_0_487_200_1,17_0_492_200_11,18_1_509_200_15,19_1_497_200_0,
0_0_500_200_0,1_1_497_200_2,2_1_489_200_14,3_0_517_200_14,4_1_517_200_0,5_0_486_200_14,6_0_495_200_7,7_0_513_200_4,8_1_497_200_6,9_0_501_200_7,10_0_517_200_0,11_1_512_200_5,12_1_495_200_8,13_1_480_200_20,14_1_508_200_0,15_0_497_200_0,16_0_484_200_6,17_1_515_200_10,18_1_520_200_2,19_0_485_200_5,
0_0_479_200_4,1_0_484_200_5,2_1_520_200_5,3_1_493_200_12,4_1_492_200_0,5_0_510_200_8,6_0_519_200_14,7_1_515_200_7,8_1_490_200_5,9_1_520_200_9,10_1_489_200_17,11_1_517_200_9,12_0_512_200_0,13_0_505_200_3,14_0_500_200_0,15_1_482_200_1,16_0_482_200_0,17_0_508_200_0,18_0_499_200_10,19_1_506_200_5,
0_1_487_199_11,1_1_497_200_0,2_0_512_200_18,3_0_493_200_0,4_0_486_200_5,5_1_493_200_24,6_1_507_200_0,7_0_482_200_18,8_0_497_200_5,9_1_491_200_4,10_0_502_200_3,11_0_519_200_0,12_1_516_200_25,13_1_486_200_0,14_0_499_200_12,15_1_492_200_0,16_0_485_200_1,17_1_489_200_14,18_0_514_200_14,19_1_503_200_2,
