"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"1",23,4,1,1,56
"2",23,6,1,1,56
"3",23,9,1,1,56
"4",23,10,1,1,56
"5",23,11,1,1,56
"6",23,13,1,1,56
"7",23,15,1,1,56
"8",23,16,1,1,56
"9",23,18,1,1,56
"10",23,21,1,1,56
"11",23,22,1,1,56
"12",23,25,1,1,56
"13",23,26,1,1,56
"14",23,27,1,1,56
"15",23,30,1,1,56
"16",23,31,1,1,56
"17",23,33,1,1,56
"18",23,34,1,1,56
"19",23,38,1,1,56
"20",23,40,1,1,56
"21",23,44,1,1,56
"22",23,47,1,1,56
"23",23,48,1,1,56
"24",23,49,1,1,56
"25",23,53,1,1,56
"26",23,56,1,1,56
"27",23,57,1,1,56
"28",23,58,1,1,56
"29",23,59,1,1,56
"30",23,61,1,1,56
"31",23,62,1,1,56
"32",23,63,1,1,56
"33",23,65,1,1,56
"34",23,70,1,1,56
"35",23,71,1,1,56
"36",23,77,1,1,56
"37",23,78,1,1,56
"38",23,80,1,1,56
"39",23,83,1,1,56
"40",23,87,1,1,56
"41",23,89,1,1,56
"42",23,90,1,1,56
"43",23,91,1,1,56
"44",23,92,1,1,56
"45",23,93,1,1,56
"46",23,94,1,1,56
"47",23,95,1,1,56
"48",23,96,1,1,56
"49",23,98,2,0,56
"50",23,99,2,0,56
"51",23,105,2,0,56
"52",23,107,2,0,56
"53",23,108,2,0,56
"54",23,110,2,0,56
"55",23,111,2,0,56
"56",23,113,2,0,56
"57",23,117,2,0,56
"58",23,118,2,0,56
"59",23,120,2,0,56
"60",23,121,2,0,56
"61",23,125,2,0,56
"62",23,127,2,0,56
"63",23,128,2,0,56
"64",23,129,2,0,56
"65",23,130,2,0,56
"66",23,132,2,0,56
"67",23,137,2,0,56
"68",23,138,2,0,56
"69",23,139,2,0,56
"70",23,140,2,0,56
"71",23,142,2,0,56
"72",23,145,2,0,56
"73",23,146,2,0,56
"74",23,147,2,0,56
"75",23,148,2,0,56
"76",23,150,2,0,56
"77",23,151,2,0,56
"78",23,152,2,0,56
"79",23,154,2,0,56
"80",23,155,2,0,56
"81",23,158,2,0,56
"82",23,159,2,0,56
"83",23,163,2,0,56
"84",23,168,2,0,56
"85",23,169,2,0,56
"86",23,175,2,0,56
"87",23,177,2,0,56
"88",23,178,2,0,56
"89",23,180,2,0,56
"90",23,181,2,0,56
"91",23,182,2,0,56
"92",23,185,2,0,56
"93",23,186,2,0,56
"94",23,187,2,0,56
"95",23,189,2,0,56
"96",23,191,2,0,56
"97",23,193,2,0,56
"98",23,197,2,0,56
"99",23,198,3,0,56
"100",23,199,3,0,56
"101",23,201,3,0,56
"102",23,205,3,0,56
"103",23,208,3,0,56
"104",23,209,3,0,56
"105",23,213,3,0,56
"106",23,215,3,0,56
"107",23,219,3,0,56
"108",23,220,3,0,56
"109",23,221,3,0,56
"110",23,223,3,0,56
"111",23,225,3,0,56
"112",23,226,3,0,56
"113",23,228,3,0,56
"114",23,229,3,0,56
"115",23,230,3,0,56
"116",23,232,3,0,56
"117",23,234,3,0,56
"118",23,241,3,0,56
"119",23,242,3,0,56
"120",23,246,3,0,56
"121",23,247,3,0,56
"122",23,251,3,0,56
"123",23,252,3,0,56
"124",23,253,3,0,56
"125",23,254,3,0,56
"126",23,255,3,0,56
"127",23,257,3,0,56
"128",23,260,3,0,56
"129",23,262,3,0,56
"130",23,263,3,0,56
"131",23,266,3,0,56
"132",23,267,3,0,56
"133",23,271,3,0,56
"134",23,274,3,0,56
"135",23,277,3,0,56
"136",23,279,3,0,56
"137",23,281,3,0,56
"138",23,282,3,0,56
"139",23,283,3,0,56
"140",23,286,3,0,56
"141",23,288,3,0,56
"142",23,289,3,0,56
"143",23,290,3,0,56
"144",23,293,3,0,56
"145",23,294,3,0,56
"146",23,295,3,0,56
"147",23,296,3,0,56
"148",23,297,3,0,56
"149",23,298,3,0,56
"150",23,299,3,0,56
"151",23,304,4,0,56
"152",23,305,4,0,56
"153",23,309,4,0,56
"154",23,310,4,0,56
"155",23,311,4,0,56
"156",23,312,4,0,56
"157",23,314,4,0,56
"158",23,315,4,0,56
"159",23,316,4,0,56
"160",23,317,4,0,56
"161",23,319,4,0,56
"162",23,324,4,0,56
"163",23,329,4,0,56
"164",23,330,4,0,56
"165",23,332,4,0,56
"166",23,333,4,0,56
"167",23,338,4,0,56
"168",23,340,4,0,56
"169",23,341,4,0,56
"170",23,342,4,0,56
"171",23,343,4,0,56
"172",23,345,4,0,56
"173",23,349,4,0,56
"174",23,351,4,0,56
"175",23,353,4,0,56
"176",23,354,4,0,56
"177",23,358,4,0,56
"178",23,362,4,0,56
"179",23,363,4,0,56
"180",23,365,4,0,56
"181",23,368,4,0,56
"182",23,369,4,0,56
"183",23,370,4,0,56
"184",23,374,4,0,56
"185",23,377,4,0,56
"186",23,379,4,0,56
"187",23,382,4,0,56
"188",23,384,4,0,56
"189",23,386,4,0,56
"190",23,388,4,0,56
"191",23,389,4,0,56
"192",23,390,4,0,56
"193",23,392,4,1,56
"194",23,393,4,0,56
"195",23,394,4,0,56
"196",23,396,4,0,56
"197",23,399,4,0,56
"198",23,401,4,0,56
"199",23,403,4,0,56
"200",23,405,4,0,56
"201",23,406,4,0,56
"202",23,407,4,0,56
"203",23,408,4,0,56
"204",23,410,4,0,56
"205",23,411,4,0,56
"206",23,412,5,1,56
"207",23,413,5,1,56
"208",23,415,5,1,56
"209",23,417,5,1,56
"210",23,418,5,1,56
"211",23,419,5,1,56
"212",23,422,5,1,56
"213",23,424,5,1,56
"214",23,425,5,1,56
"215",23,428,5,1,56
"216",23,431,5,1,56
"217",23,432,5,1,56
"218",23,438,5,1,56
"219",23,439,5,1,56
"220",23,441,5,1,56
"221",23,442,5,1,56
"222",23,444,5,1,56
"223",23,445,5,1,56
"224",23,446,5,1,56
"225",23,448,5,1,56
"226",23,450,5,1,56
"227",23,452,5,1,56
"228",23,453,5,1,56
"229",23,454,5,1,56
"230",23,455,5,1,56
"231",23,457,5,1,56
"232",23,459,5,1,56
"233",23,460,5,1,56
"234",23,461,5,1,56
"235",23,463,5,1,56
"236",23,464,5,1,56
"237",23,467,5,1,56
"238",23,469,5,1,56
"239",23,471,5,1,56
"240",23,472,5,1,56
"241",23,473,5,1,56
"242",23,474,5,1,56
"243",23,475,5,1,56
"244",23,477,5,1,56
"245",23,484,5,1,56
"246",23,488,5,1,56
"247",23,490,5,1,56
"248",23,492,5,1,56
"249",23,493,5,1,56
"250",23,495,5,1,56
"251",23,496,5,1,56
"252",23,505,6,0,56
"253",23,506,6,0,56
"254",23,508,6,0,56
"255",23,509,6,0,56
"256",23,510,6,0,56
"257",23,513,6,0,56
"258",23,516,6,0,56
"259",23,517,6,0,56
"260",23,518,6,0,56
"261",23,521,6,0,56
"262",23,525,6,0,56
"263",23,527,6,0,56
"264",23,528,6,0,56
"265",23,530,6,0,56
"266",23,531,6,0,56
"267",23,532,6,0,56
"268",23,533,6,0,56
"269",23,534,6,0,56
"270",23,535,6,0,56
"271",23,536,6,0,56
"272",23,538,6,0,56
"273",23,543,6,0,56
"274",23,544,6,0,56
"275",23,546,6,0,56
"276",23,547,6,0,56
"277",23,548,6,0,56
"278",23,549,6,0,56
"279",23,551,6,0,56
"280",23,553,6,0,56
"281",23,560,6,0,56
"282",23,561,6,0,56
"283",23,564,6,0,56
"284",23,565,6,0,56
"285",23,567,6,0,56
"286",23,568,6,0,56
"287",23,575,6,0,56
"288",23,579,6,0,56
"289",23,581,6,0,56
"290",23,582,6,0,56
"291",23,585,6,0,56
"292",23,586,7,1,56
"293",23,587,7,1,56
"294",23,591,7,1,56
"295",23,592,7,1,56
"296",23,595,7,1,56
"297",23,599,7,1,56
"298",23,600,7,1,56
"299",23,601,7,1,56
"300",23,602,7,1,56
"301",23,604,7,1,56
"302",23,605,7,1,56
"303",23,607,7,1,56
"304",23,611,7,1,56
"305",23,614,7,1,56
"306",23,616,7,1,56
"307",23,617,7,1,56
"308",23,618,7,1,56
"309",23,620,7,1,56
"310",23,622,7,1,56
"311",23,623,7,1,56
"312",23,626,7,1,56
"313",23,627,7,1,56
"314",23,628,7,1,56
