"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",82,84,58,2,0,0,0,0,0,0,6,44,6,0,0
"2",19,84,51,2,0,0,0,0,0,0,0,0,0,0,0
"3",98,84,44,2,0,0,0,0,0,0,0,0,0,0,0
"4",75,84,55,2,0,0,0,0,0,0,0,0,0,0,0
"5",81,112,43,3,0,0,0,0,0,0,0,0,0,0,0
"6",29,112,56,3,0,0,0,0,0,0,0,0,0,0,0
"7",88,112,42,3,0,0,0,0,0,0,0,0,0,0,0
"8",38,112,42,3,0,0,0,0,0,0,0,0,17,14,5
"9",80,140,44,4,0,0,0,0,0,0,0,0,0,0,0
"10",64,140,56,4,0,0,0,0,0,0,0,0,0,0,0
"11",8,140,51,4,0,0,0,0,0,0,0,0,0,0,0
"12",39,140,51,4,0,0,0,0,0,0,0,1,0,0,0
"13",92,168,52,5,0,0,0,0,0,0,0,0,0,0,0
"14",34,168,56,5,0,0,0,0,0,0,0,0,0,0,0
"15",6,168,43,5,0,0,0,0,0,0,5,30,5,1,0
"16",83,168,54,5,0,0,0,0,0,0,0,0,0,0,0
"17",57,196,53,6,0,0,0,0,0,0,0,0,0,0,0
"18",87,196,45,6,0,0,0,0,0,0,0,0,0,0,0
"19",58,196,46,6,0,0,0,0,0,0,0,0,0,0,0
"20",59,196,40,6,0,0,0,0,0,0,0,0,0,0,0
"21",71,224,56,7,0,0,0,0,0,0,0,0,0,0,0
"22",70,224,42,7,0,0,0,0,0,0,2,20,15,0,0
"23",44,224,48,7,0,0,0,0,0,0,0,0,0,0,0
"24",60,224,40,7,0,1,20,15,0,0,0,0,0,0,0
"25",50,252,48,8,0,0,0,0,0,0,0,0,3,7,29
"26",76,252,52,8,0,0,7,43,2,0,0,0,0,0,0
"27",95,252,43,8,0,0,0,0,0,0,0,0,0,4,19
"28",1,252,50,8,0,0,0,0,0,0,0,0,0,0,0
"29",54,280,42,9,0,0,0,0,0,0,0,0,0,0,0
"30",68,280,45,9,0,0,0,0,0,0,0,0,1,11,27
"31",5,280,50,9,0,0,0,0,10,36,3,0,0,0,0
"32",43,280,54,9,0,0,0,0,0,0,0,0,0,0,0
"33",86,308,58,10,0,0,0,0,0,0,0,2,0,0,0
"34",73,308,58,10,0,0,0,0,7,46,3,0,0,0,0
"35",51,308,45,10,0,0,0,0,0,0,3,28,11,0,0
"36",49,308,45,10,0,0,0,0,0,0,0,0,0,0,0
"37",47,336,54,11,0,0,0,4,40,8,0,0,0,0,0
"38",79,336,48,11,0,0,0,0,0,0,0,0,0,0,0
"39",2,336,56,11,0,0,0,0,0,0,0,0,0,0,0
"40",45,336,43,11,0,0,0,0,0,0,0,0,0,0,0
"41",20,364,52,12,0,3,39,7,0,0,0,0,0,0,0
"42",37,364,58,12,0,0,0,0,0,0,0,26,30,0,0
"43",96,364,51,12,0,0,0,0,0,0,0,0,0,0,0
"44",90,364,50,12,0,0,0,0,0,0,0,2,31,12,0
