"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",59,84,60,2,0,0,0,0,0,18,38,0,0,0,0
"2",43,84,40,2,0,0,0,0,0,0,0,0,0,0,0
"3",21,84,50,2,0,0,0,0,0,0,0,0,0,0,0
"4",66,84,50,2,0,0,0,0,0,0,0,0,0,0,0
"5",35,112,58,3,0,0,0,0,0,0,0,0,0,0,14
"6",49,112,48,3,6,40,2,0,0,0,0,0,0,0,0
"7",2,112,54,3,0,0,0,0,0,0,0,0,0,0,0
"8",51,112,48,3,0,0,0,0,0,0,1,0,0,0,0
"9",27,140,54,4,0,0,0,0,0,0,0,0,0,0,0
"10",44,140,58,4,0,0,0,0,0,0,0,2,47,9,0
"11",65,140,48,4,0,0,2,27,18,0,0,0,0,0,0
"12",42,140,55,4,0,0,0,0,0,0,0,0,0,0,0
"13",36,168,45,5,0,0,0,0,1,9,27,5,0,0,0
"14",68,168,57,5,0,0,0,0,0,0,0,0,0,0,0
"15",67,168,54,5,0,0,0,0,0,0,0,3,43,7,0
"16",83,168,48,5,0,0,0,0,0,0,0,0,0,0,0
"17",93,196,60,6,0,0,0,0,0,0,0,0,0,0,0
"18",39,196,44,6,0,0,0,0,0,0,0,0,0,0,0
"19",97,196,43,6,0,0,0,0,0,0,0,0,0,0,0
"20",14,196,50,6,0,0,0,0,0,2,7,35,4,0,0
"21",94,224,46,7,0,1,25,14,0,0,0,0,0,0,0
"22",4,224,58,7,0,0,0,0,0,0,0,0,2,45,8
"23",99,224,50,7,0,0,0,0,0,0,0,0,0,0,0
"24",71,224,46,7,0,0,0,0,0,1,14,27,0,0,0
"25",1,252,58,8,0,0,0,0,1,17,37,1,0,0,0
"26",28,252,42,8,0,0,0,0,0,0,0,0,0,0,0
"27",87,252,55,8,0,0,0,0,0,0,0,0,0,0,0
"28",15,252,48,8,0,0,0,0,0,0,0,0,0,0,0
"29",47,280,47,9,0,0,0,0,0,0,0,0,0,0,0
"30",100,280,54,9,0,0,0,0,0,0,0,0,0,8,37
"31",7,280,42,9,0,0,0,0,0,1,15,17,4,0,0
"32",34,280,55,9,0,0,0,0,0,19,31,2,0,0,0
"33",13,308,58,10,0,0,0,0,0,0,0,0,0,2,25
"34",81,308,45,10,0,0,0,0,0,0,0,0,0,0,0
"35",79,308,42,10,0,0,0,0,0,0,0,0,0,0,0
"36",16,308,56,10,0,0,0,0,0,0,0,0,0,0,0
"37",56,336,51,11,0,0,0,0,0,0,0,0,0,0,0
"38",45,336,53,11,0,0,0,1,2,38,10,0,0,0,0
"39",78,336,57,11,0,0,0,0,0,2,43,10,0,0,0
"40",3,336,41,11,0,0,0,0,22,15,0,0,0,0,0
"41",90,364,50,12,0,0,0,0,0,0,20,27,0,0,0
"42",77,364,44,12,0,0,0,0,0,0,0,0,0,0,0
"43",73,364,58,12,0,0,0,23,31,2,0,0,0,0,0
"44",88,364,40,12,0,0,0,0,26,11,0,0,0,0,0
