"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",49,84,56,2,0,0,0,0,0,0,0,0,0,0,0
"2",21,84,51,2,0,6,38,5,0,0,0,0,0,0,0
"3",75,84,48,2,0,0,0,0,0,0,0,0,1,13,34
"4",67,84,48,2,0,0,0,0,0,0,0,0,0,0,0
"5",71,112,52,3,0,0,0,0,0,0,2,43,6,0,0
"6",93,112,54,3,0,0,0,0,0,0,1,5,39,7,0
"7",81,112,40,3,0,0,0,0,0,0,0,0,0,0,0
"8",100,112,46,3,0,0,0,0,0,0,0,0,0,1,6
"9",1,140,42,4,0,0,0,0,0,0,0,0,0,0,0
"10",46,140,41,4,0,0,0,0,0,0,0,0,0,0,0
"11",92,140,45,4,0,0,0,0,0,9,36,0,0,0,0
"12",11,140,48,4,0,0,0,0,0,0,16,25,4,0,0
"13",24,168,58,5,0,0,0,0,0,0,0,0,0,0,15
"14",44,168,51,5,0,0,0,0,0,0,0,0,0,0,0
"15",68,168,52,5,0,0,0,0,0,0,0,0,0,1,17
"16",47,168,46,5,0,0,0,0,0,0,0,0,0,0,0
"17",91,196,52,6,0,0,0,0,0,0,0,0,0,0,13
"18",73,196,46,6,0,0,0,0,0,0,0,0,3,21,14
"19",52,196,46,6,0,0,0,0,0,0,28,17,0,0,0
"20",6,196,50,6,0,0,0,0,0,0,0,1,0,0,0
"21",9,224,48,7,0,0,0,0,2,35,9,0,0,0,0
"22",63,224,48,7,0,0,0,0,0,0,0,0,0,0,0
"23",95,224,55,7,0,0,0,0,0,4,44,3,0,0,0
"24",13,224,60,7,0,0,0,0,0,0,0,0,7,48,3
"25",17,252,53,8,0,0,0,2,29,20,0,0,0,0,0
"26",34,252,43,8,0,0,0,0,0,0,0,0,9,22,3
"27",50,252,48,8,0,0,0,0,0,0,0,0,0,0,0
"28",97,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"29",27,280,42,9,0,0,0,0,0,0,0,0,4,31,5
"30",54,280,54,9,0,0,32,22,0,0,0,0,0,0,0
"31",66,280,40,9,0,0,0,1,28,5,0,0,0,0,0
"32",58,280,52,9,0,0,0,0,0,0,0,0,0,0,0
"33",12,308,58,10,0,0,0,0,0,0,0,0,31,24,1
"34",32,308,54,10,0,0,0,0,0,0,0,0,0,0,0
"35",70,308,46,10,0,4,39,3,0,0,0,0,0,0,0
"36",8,308,52,10,0,0,0,0,0,0,0,0,0,0,0
"37",57,336,54,11,0,0,0,0,0,18,36,0,0,0,0
"38",69,336,50,11,0,0,0,0,0,0,0,0,0,0,0
"39",30,336,55,11,0,0,0,0,0,0,0,0,0,0,0
"40",39,336,52,11,0,0,0,0,1,34,14,0,0,0,0
"41",2,364,58,12,0,0,0,0,0,0,0,0,0,0,0
"42",33,364,50,12,0,0,0,0,0,0,0,0,0,0,0
"43",86,364,43,12,0,0,0,0,0,0,0,0,0,0,0
"44",83,364,54,12,0,0,0,0,0,0,0,0,0,0,0
