"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",47,84,44,2,0,0,0,0,0,0,6,24,12,0,0
"2",26,84,53,2,0,0,0,0,0,2,47,2,0,0,0
"3",28,84,55,2,0,0,0,0,0,0,0,0,0,0,0
"4",20,84,42,2,0,0,0,0,0,0,0,0,0,0,0
"5",14,112,53,3,0,0,0,0,0,0,0,0,0,0,0
"6",71,112,50,3,0,0,0,0,11,38,0,0,0,0,0
"7",75,112,52,3,0,0,0,0,0,0,0,0,0,0,0
"8",61,112,48,3,0,0,0,0,0,0,0,0,0,0,0
"9",2,140,42,4,0,0,0,0,0,0,0,3,22,15,0
"10",98,140,45,4,0,0,0,0,0,0,0,0,2,6,26
"11",58,140,54,4,0,0,0,0,0,0,0,0,4,42,4
"12",15,140,60,4,0,0,0,0,0,0,0,1,9,37,11
"13",96,168,40,5,0,0,0,0,0,0,0,0,0,0,0
"14",49,168,44,5,0,15,24,2,0,0,0,0,0,0,0
"15",53,168,40,5,0,0,0,0,0,0,0,0,0,0,0
"16",72,168,49,5,0,0,0,0,0,0,2,29,15,0,0
"17",13,196,57,6,0,0,0,0,0,0,0,0,0,0,0
"18",31,196,44,6,0,0,0,0,0,0,0,0,0,0,0
"19",65,196,42,6,0,0,0,0,0,0,0,0,1,5,26
"20",29,196,50,6,0,0,0,0,0,0,0,1,9,35,3
"21",45,224,50,7,0,0,0,0,0,0,0,0,0,0,0
"22",51,224,58,7,0,0,0,0,0,0,7,41,9,0,0
"23",68,224,41,7,0,0,0,0,0,0,0,0,0,0,0
"24",89,224,51,7,0,0,0,0,0,0,0,0,0,0,0
"25",70,252,48,8,0,0,0,0,0,0,0,0,0,0,0
"26",36,252,55,8,0,0,0,0,0,0,14,41,0,0,0
"27",94,252,45,8,0,0,0,0,0,0,0,0,0,0,0
"28",34,252,45,8,0,0,0,0,0,0,0,0,0,1,16
"29",64,280,52,9,0,0,0,0,0,0,0,0,0,0,4
"30",55,280,48,9,0,0,0,0,0,0,0,0,0,0,0
"31",80,280,52,9,0,0,5,41,5,0,0,0,0,0,0
"32",59,280,52,9,0,0,0,0,0,0,0,0,0,0,0
"33",17,308,54,10,0,0,0,0,0,0,0,0,0,1,39
"34",24,308,57,10,0,0,0,0,16,41,0,0,0,0,0
"35",9,308,58,10,0,0,1,0,0,0,0,0,0,0,0
"36",33,308,48,10,0,0,0,0,0,0,0,18,27,0,0
"37",73,336,53,11,0,0,0,0,0,0,0,0,0,0,0
"38",30,336,46,11,0,0,0,0,0,0,0,0,0,0,0
"39",10,336,44,11,0,0,0,0,0,0,0,0,0,0,0
"40",46,336,47,11,0,0,0,0,0,0,0,0,0,0,0
"41",48,364,44,12,0,0,0,0,0,0,0,0,0,17,22
"42",87,364,44,12,0,0,0,0,0,0,0,0,0,0,0
"43",41,364,42,12,0,0,0,0,0,0,0,0,0,0,0
"44",12,364,60,12,0,0,0,0,0,0,0,2,38,16,0
