"","Community","DayVaccinated","indivs","StartPd","Pd_1","Pd_2","Pd_3","Pd_4","Pd_5","Pd_6","Pd_7","Pd_8","Pd_9","Pd_10","Pd_11"
"1",74,84,46,2,0,0,0,0,0,0,0,0,0,0,0
"2",63,84,49,2,0,0,0,0,0,0,0,0,0,0,0
"3",12,84,53,2,0,0,0,0,0,0,3,9,31,7,0
"4",83,84,41,2,0,0,5,20,13,0,0,0,0,0,0
"5",19,112,48,3,0,0,0,0,0,0,0,0,0,0,1
"6",98,112,42,3,0,0,0,0,0,0,0,0,0,0,0
"7",94,112,54,3,0,0,0,0,0,0,4,43,6,0,0
"8",54,112,54,3,0,0,0,0,0,0,0,1,33,20,0
"9",92,140,50,4,0,0,0,0,0,0,3,35,9,0,0
"10",6,140,52,4,0,0,0,0,0,0,0,0,0,0,0
"11",50,140,56,4,0,0,0,0,0,0,4,35,15,1,0
"12",69,140,45,4,0,0,0,0,0,0,0,0,0,0,0
"13",23,168,53,5,0,0,0,0,0,0,0,0,0,0,0
"14",13,168,56,5,0,0,0,0,0,0,0,0,0,0,0
"15",24,168,48,5,0,0,0,0,0,0,0,0,0,0,0
"16",62,168,56,5,0,0,0,0,0,0,10,33,9,2,0
"17",84,196,42,6,0,0,0,0,0,0,0,1,24,15,1
"18",39,196,43,6,0,0,0,1,0,0,0,0,0,5,10
"19",42,196,42,6,0,0,0,0,0,0,0,0,0,0,0
"20",55,196,52,6,0,0,0,0,0,1,19,27,1,0,0
"21",70,224,56,7,0,0,0,0,0,0,0,0,0,0,0
"22",34,224,56,7,0,0,0,0,0,0,0,0,0,0,0
"23",87,224,43,7,0,0,0,0,0,0,0,0,0,0,0
"24",5,224,54,7,0,0,0,0,0,0,0,0,40,12,0
"25",14,252,41,8,0,0,0,0,0,0,0,0,0,0,0
"26",66,252,41,8,0,0,0,0,0,0,0,0,2,0,0
"27",56,252,60,8,0,0,0,0,0,0,2,40,16,0,0
"28",20,252,54,8,0,0,0,0,0,0,0,0,0,0,0
"29",4,280,42,9,0,0,0,0,0,0,0,0,0,0,0
"30",91,280,52,9,0,0,0,0,0,0,0,0,0,0,0
"31",43,280,58,9,0,6,42,9,0,0,0,0,0,0,0
"32",81,280,50,9,0,0,0,0,0,1,32,14,0,0,0
"33",7,308,50,10,0,0,0,0,0,0,0,0,0,0,0
"34",21,308,54,10,0,0,0,0,0,0,0,0,0,0,0
"35",16,308,40,10,0,0,0,0,0,0,4,13,17,0,0
"36",28,308,50,10,0,0,0,0,38,12,0,0,0,0,0
"37",40,336,59,11,0,0,0,0,25,31,1,0,0,0,0
"38",1,336,50,11,0,0,0,0,0,0,0,0,0,0,0
"39",44,336,42,11,0,0,0,0,0,0,8,30,4,0,0
"40",17,336,56,11,0,0,0,0,0,0,0,0,0,0,0
"41",11,364,40,12,0,0,0,0,0,0,0,0,0,0,0
"42",35,364,54,12,0,0,0,0,0,0,0,0,0,0,0
"43",49,364,54,12,0,0,0,0,0,0,0,0,0,0,0
"44",75,364,50,12,42,5,1,0,0,0,0,0,0,0,0
