I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
6,4,17,5,0.3364722366212129,1.0986122886681098,
7,9,11,15,-0.2231435513142097,-0.2876820724517809,
3,18,10,20,-1.55814461804655,-0.6466271649250525,
10,5,7,14,0.6061358035703155,-0.6286086594223742,
9,0,21,0,2.302585092994046,3.091042453358316,
5,5,1,13,0.0,-1.9459101490553135,
2,2,2,3,0.0,-0.2876820724517809,
7,5,12,9,0.28768207245178085,0.26236426446749106,
27,4,38,22,1.7227665977411035,0.5280674302004967,
6,13,14,23,-0.6931471805599453,-0.4700036292457356,
5,2,9,7,0.6931471805599453,0.22314355131420976,
3,7,2,11,-0.6931471805599453,-1.3862943611198906,
17,17,22,49,0.0,-0.7765287894989963,
2,4,9,7,-0.5108256237659907,0.22314355131420976,
1,5,0,10,-1.0986122886681098,-2.3978952727983707,
2,23,17,56,-2.0794415416798357,-1.1526795099383855,
18,6,32,9,0.9985288301111273,1.1939224684724346,
2,7,2,5,-0.9808292530117262,-0.6931471805599453,
17,7,27,4,0.8109302162163288,1.7227665977411035,
10,12,13,20,-0.1670540846631662,-0.40546510810816444,
0,12,0,31,-2.5649493574615367,-3.4657359027997265,
0,8,1,20,-2.1972245773362196,-2.3513752571634776,
14,12,26,20,0.14310084364067324,0.25131442828090617,
0,8,8,4,-2.1972245773362196,0.5877866649021191,
8,24,23,29,-1.0216512475319814,-0.2231435513142097,
12,12,22,10,0.0,0.7375989431307791,
10,15,7,15,-0.3746934494414107,-0.6931471805599453,
12,0,16,0,2.5649493574615367,2.833213344056216,
13,4,32,2,1.0296194171811581,2.3978952727983707,
17,0,31,1,2.8903717578961645,2.772588722239781,
2,11,3,14,-1.3862943611198906,-1.3217558399823195,
2,3,0,2,-0.2876820724517809,-1.0986122886681098,
20,0,38,0,3.044522437723423,3.6635616461296463,
15,6,30,4,0.8266785731844679,1.824549292051046,
31,12,59,26,0.9007865453381899,0.7985076962177716,
0,5,7,6,-1.791759469228055,0.13353139262452257,
15,3,34,12,1.3862943611198906,0.990398704027877,
15,1,30,7,2.0794415416798357,1.3545456628053103,
2,3,6,2,-0.2876820724517809,0.8472978603872037,
5,11,8,15,-0.6931471805599453,-0.5753641449035618,
12,13,31,18,-0.07410797215372185,0.5212969236332861,
0,1,1,1,-0.6931471805599453,0.0,
7,8,2,9,-0.11778303565638351,-1.2039728043259361,
10,16,4,19,-0.4353180712578455,-1.3862943611198906,
8,5,11,6,0.4054651081081644,0.5389965007326869,
1,0,5,0,0.6931471805599453,1.791759469228055,
8,2,25,10,1.0986122886681098,0.8602012652231116,
10,11,16,19,-0.08701137698962981,-0.16251892949777494,
0,10,1,26,-2.3978952727983707,-2.6026896854443837,
13,12,14,43,0.07410797215372183,-1.0761394328160512,
18,12,32,17,0.3794896217049037,0.6061358035703155,
5,1,11,5,1.0986122886681098,0.6931471805599453,
8,10,19,12,-0.2006706954621511,0.43078291609245434,
6,3,7,3,0.5596157879354227,0.6931471805599453,
1,6,8,13,-1.252762968495368,-0.4418327522790392,
13,7,11,11,0.5596157879354227,0.0,
0,1,6,2,-0.6931471805599453,0.8472978603872037,
13,8,27,11,0.44183275227903923,0.8472978603872037,
0,14,1,19,-2.70805020110221,-2.3025850929940455,
11,7,4,15,0.4054651081081644,-1.1631508098056809,
2,9,13,29,-1.2039728043259361,-0.7621400520468967,
19,3,37,2,1.6094379124341003,2.538973871058276,
24,2,43,14,2.120263536200091,1.076139432816051,
0,8,0,9,-2.1972245773362196,-2.3025850929940455,
2,1,3,3,0.4054651081081644,0.0,
12,7,22,8,0.4855078157817008,0.9382696385929302,
29,5,41,19,1.6094379124341003,0.7419373447293773,
8,7,12,6,0.11778303565638346,0.6190392084062235,
11,14,22,18,-0.2231435513142097,0.19105523676270922,
17,16,21,21,0.05715841383994862,0.0,
17,7,14,8,0.8109302162163288,0.5108256237659907,
1,1,0,6,0.0,-1.9459101490553135,
9,7,20,11,0.22314355131420976,0.5596157879354227,
1,7,2,6,-1.3862943611198906,-0.8472978603872037,
1,1,8,12,0.0,-0.3677247801253174,
6,6,11,5,0.0,0.6931471805599453,
5,16,10,24,-1.041453874828161,-0.8209805520698302,
15,0,26,1,2.772588722239781,2.6026896854443837,
15,4,22,16,1.1631508098056809,0.3022808718729337,
1,0,2,1,0.6931471805599453,0.4054651081081644,
9,5,7,7,0.5108256237659907,0.0,
5,11,8,17,-0.6931471805599453,-0.6931471805599453,
9,4,25,8,0.6931471805599453,1.0608719606852626,
3,13,1,18,-1.252762968495368,-2.2512917986064953,
6,0,11,1,1.9459101490553132,1.791759469228055,
4,14,4,27,-1.0986122886681098,-1.7227665977411035,
3,6,7,7,-0.5596157879354228,0.0,
1,12,1,31,-1.8718021769015913,-2.772588722239781,
4,8,9,8,-0.587786664902119,0.10536051565782635,
1,5,9,15,-1.0986122886681098,-0.4700036292457356,
14,23,17,32,-0.4700036292457356,-0.6061358035703156,
15,14,18,34,0.06453852113757116,-0.6109090823229733,
3,13,6,24,-1.252762968495368,-1.2729656758128873,
2,21,3,13,-1.9924301646902063,-1.252762968495368,
