I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
12,44,14,45,-1.241713132308783,-1.120591195386885,
11,21,16,43,-0.6061358035703156,-0.9509762898620451,
12,27,11,46,-0.7672551527136672,-1.3652409519220583,
5,30,21,71,-1.6422277352570913,-1.1856236656577395,
3,32,7,51,-2.1102132003465894,-1.8718021769015913,
3,16,11,28,-1.4469189829363254,-0.8823891801984737,
3,18,14,34,-1.55814461804655,-0.8472978603872037,
9,23,26,35,-0.8754687373538999,-0.2876820724517809,
1,12,6,27,-1.8718021769015913,-1.3862943611198906,
2,22,19,34,-2.03688192726104,-0.5596157879354228,
12,21,18,43,-0.5260930958967791,-0.8397506547518206,
9,24,20,42,-0.916290731874155,-0.7166776779701395,
9,17,13,40,-0.587786664902119,-1.074514737089049,
15,21,16,44,-0.3184537311185346,-0.9734491457141037,
7,29,21,74,-1.3217558399823195,-1.2264456601779945,
10,44,20,59,-1.4087672169719492,-1.0498221244986778,
1,25,6,47,-2.5649493574615367,-1.9252908618525775,
6,11,10,22,-0.5389965007326869,-0.7375989431307791,
4,7,9,17,-0.4700036292457356,-0.587786664902119,
9,44,19,78,-1.5040773967762742,-1.3737155789130304,
2,39,7,64,-2.5902671654458267,-2.094945728215801,
2,51,10,81,-2.8526314299133175,-2.0088239744658827,
11,15,12,15,-0.2876820724517809,-0.2076393647782445,
4,33,11,60,-1.916922612182061,-1.625967214385311,
4,21,17,57,-1.4816045409242156,-1.1700712526502546,
11,58,13,77,-1.5926307941177191,-1.717651497074333,
3,36,9,58,-2.2246235515243336,-1.7749523509116738,
2,38,10,80,-2.5649493574615367,-1.9965538818740682,
7,25,14,38,-1.1786549963416462,-0.9555114450274363,
4,33,15,51,-1.916922612182061,-1.1786549963416462,
16,20,34,32,-0.2113090936672069,0.058840500022933395,
9,29,21,37,-1.0986122886681098,-0.5465437063680699,
4,38,13,77,-2.0541237336955462,-1.717651497074333,
10,35,24,56,-1.1856236656577395,-0.8241754429663495,
7,22,17,52,-1.0560526742493137,-1.0799201556559572,
12,37,25,78,-1.072636802264849,-1.1113513144455396,
7,48,18,94,-1.8123787564307907,-1.6094379124341003,
3,15,5,26,-1.3862943611198906,-1.5040773967762742,
6,45,9,82,-1.8827312474337816,-2.1162555148025524,
15,35,24,75,-0.8109302162163288,-1.1118575154181303,
5,50,7,99,-2.1400661634962708,-2.5257286443082556,
6,39,14,88,-1.742969305058623,-1.7805861686299298,
6,21,19,38,-1.1451323043030026,-0.6678293725756556,
14,5,20,13,0.9162907318741551,0.4054651081081644,
15,21,13,35,-0.3184537311185346,-0.9444616088408514,
13,23,34,47,-0.5389965007326869,-0.3158529494184773,
13,19,26,39,-0.35667494393873245,-0.3930425881096072,
8,15,16,34,-0.5753641449035618,-0.7221347174331976,
10,32,13,66,-1.0986122886681098,-1.5656352897757075,
5,18,13,26,-1.1526795099383855,-0.6567795363890705,
8,24,25,41,-1.0216512475319814,-0.4795730802618862,
4,36,6,68,-2.001480000210124,-2.2881963555419462,
