I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
7,16,12,34,-0.7537718023763802,-0.9903987040278769,
16,31,14,48,-0.6325225587435105,-1.1837700970084166,
8,28,10,43,-1.1700712526502546,-1.3862943611198906,
4,33,5,74,-1.916922612182061,-2.5257286443082556,
10,19,10,22,-0.5978370007556204,-0.7375989431307791,
3,34,10,67,-2.169053700369523,-1.821612432377736,
3,37,14,60,-2.2512917986064953,-1.4028236630711013,
15,17,12,23,-0.11778303565638351,-0.6131044728864089,
3,40,12,67,-2.327277705584417,-1.65455834771457,
7,37,20,60,-1.55814461804655,-1.0663514264498883,
6,20,20,50,-1.0986122886681098,-0.8873031950009028,
8,34,15,49,-1.3581234841531944,-1.1394342831883648,
10,15,19,30,-0.3746934494414107,-0.4382549309311553,
0,25,7,30,-3.258096538021482,-1.3545456628053103,
9,54,16,86,-1.7047480922384253,-1.6326947745983675,
7,36,16,51,-1.5314763709643884,-1.1180303745252114,
16,32,17,53,-0.6632942174102642,-1.0986122886681098,
5,28,11,28,-1.575536360758419,-0.8823891801984737,
8,34,9,55,-1.3581234841531944,-1.7227665977411035,
13,6,22,5,0.6931471805599453,1.3437347467010947,
6,22,17,62,-1.1895840668738362,-1.252762968495368,
10,31,12,45,-1.067840630001356,-1.2636920390275583,
4,38,7,58,-2.0541237336955462,-1.9980959022258835,
8,21,16,41,-0.8938178760220964,-0.9044562742271522,
11,36,16,65,-1.126011262856224,-1.3564413979702095,
10,38,17,54,-1.2656663733312759,-1.1169614273363062,
10,20,21,36,-0.6466271649250525,-0.5198754592859085,
6,29,13,51,-1.455287232606842,-1.3121863889661687,
13,30,7,55,-0.7949298748698876,-1.9459101490553135,
7,36,7,60,-1.5314763709643884,-2.031432322493475,
5,29,16,54,-1.6094379124341003,-1.1741198411762548,
10,25,21,36,-0.8602012652231115,-0.5198754592859085,
1,39,16,74,-2.995732273553991,-1.4842747694800944,
7,34,12,60,-1.4759065198095778,-1.5459245067117746,
8,19,20,34,-0.7985076962177716,-0.5108256237659907,
8,53,7,78,-1.791759469228055,-2.2900063107871858,
8,25,22,40,-1.0608719606852628,-0.578077850775158,
6,19,13,35,-1.0498221244986778,-0.9444616088408514,
4,25,6,64,-1.6486586255873816,-2.228477120840324,
12,24,22,36,-0.6539264674066639,-0.4754236967150748,
10,39,28,50,-1.2909841813155656,-0.5645298027378518,
1,35,9,52,-2.890371757896165,-1.667706820558076,
6,36,11,76,-1.6650077635889111,-1.8588987720656835,
5,20,14,34,-1.252762968495368,-0.8472978603872037,
8,33,22,59,-1.329135947279942,-0.958850346292951,
4,29,17,49,-1.791759469228055,-1.0216512475319814,
11,19,13,32,-0.5108256237659907,-0.8574502318512216,
4,23,9,50,-1.5686159179138452,-1.62924053973028,
4,13,22,47,-1.0296194171811581,-0.7357067949787413,
5,18,18,33,-1.1526795099383855,-0.5819215454497209,
1,18,17,36,-2.2512917986064953,-0.7205461547480597,
7,27,16,50,-1.252762968495368,-1.0986122886681098,
11,29,28,40,-0.916290731874155,-0.3462762367178338,
5,24,5,52,-1.4271163556401458,-2.178532444324067,
4,14,18,26,-1.0986122886681098,-0.3513978868378886,
7,41,11,64,-1.6582280766035324,-1.6894806201076367,
6,30,17,51,-1.488077055429833,-1.0608719606852628,
2,10,7,23,-1.2992829841302609,-1.0986122886681098,
6,23,12,42,-1.2321436812926323,-1.1962507582320256,
7,20,24,40,-0.9650808960435872,-0.49469624183610705,
16,37,37,62,-0.8043728156701697,-0.505548566665147,
8,32,18,47,-1.2992829841302609,-0.9267620317414506,
3,11,8,17,-1.0986122886681098,-0.6931471805599453,
5,33,20,62,-1.7346010553881064,-1.0986122886681098,
13,31,13,43,-0.8266785731844679,-1.1451323043030026,
13,16,16,32,-0.1941560144409575,-0.6632942174102642,
11,17,12,40,-0.40546510810816444,-1.148622709242771,
6,33,12,81,-1.580450375560848,-1.8417698898027164,
11,22,19,27,-0.6505875661411494,-0.3364722366212129,
11,30,21,45,-0.9490805546971459,-0.7375989431307791,
5,43,18,59,-1.9924301646902063,-1.1499055830556604,
5,4,21,22,0.1823215567939546,-0.04445176257083381,
8,35,27,54,-1.3862943611198906,-0.6751286750572671,
5,25,9,49,-1.466337068793427,-1.6094379124341003,
3,23,10,49,-1.791759469228055,-1.5141277326297755,
8,28,30,38,-1.1700712526502546,-0.22957444164450025,
15,18,25,29,-0.17185025692665928,-0.1431008436406733,
5,28,5,50,-1.575536360758419,-2.1400661634962708,
7,23,26,51,-1.0986122886681098,-0.6554068525770982,
16,11,17,31,0.3483066942682158,-0.5753641449035618,
3,35,6,91,-2.1972245773362196,-2.575878427993727,
7,21,8,30,-1.0116009116784799,-1.2367626271489267,
10,38,22,57,-1.2656663733312759,-0.9249487946172696,
12,28,14,66,-0.8023464725249373,-1.4966424182887559,
12,44,17,69,-1.241713132308783,-1.3581234841531944,
9,16,34,35,-0.5306282510621704,-0.028170876966696335,
10,17,19,36,-0.49247648509779407,-0.6151856390902334,
9,27,20,57,-1.0296194171811581,-1.0159205728229963,
7,13,19,24,-0.5596157879354228,-0.2231435513142097,
11,24,19,52,-0.7339691750802004,-0.9745596399981308,
4,44,10,85,-2.1972245773362196,-2.056452023455137,
9,23,18,43,-0.8754687373538999,-0.8397506547518206,
10,30,18,46,-1.0360919316867756,-0.9057086225436182,
4,38,18,54,-2.0541237336955462,-1.0628942060660305,
9,10,17,30,-0.0953101798043249,-0.5436154465889815,
12,22,10,32,-0.570544858467613,-1.0986122886681098,
6,22,8,36,-1.1895840668738362,-1.413693335308005,
12,38,18,50,-1.0986122886681098,-0.9873866535578852,
4,32,15,37,-1.8870696490323797,-0.8649974374866046,
8,23,23,32,-0.9808292530117262,-0.3184537311185346,
4,20,19,47,-1.4350845252893227,-0.8754687373538999,
6,21,10,34,-1.1451323043030026,-1.157452788691043,
4,31,9,74,-1.8562979903656263,-2.0149030205422647,
7,37,33,58,-1.55814461804655,-0.551176919289558,
8,41,12,54,-1.540445040947149,-1.4423838277709342,
8,28,17,40,-1.1700712526502546,-0.8232003088081431,
15,24,40,26,-0.4462871026284195,0.41773520069997877,
4,20,12,37,-1.4350845252893227,-1.072636802264849,
13,24,20,35,-0.579818495252942,-0.5389965007326869,
11,29,20,56,-0.916290731874155,-0.9985288301111273,
5,18,7,35,-1.1526795099383855,-1.5040773967762742,
13,42,30,91,-1.1221427860783038,-1.087801372563894,
0,20,3,48,-3.044522437723423,-2.505525936990736,
9,17,11,48,-0.587786664902119,-1.4069136483226263,
9,16,22,35,-0.5306282510621704,-0.4480247225269604,
6,20,17,30,-1.0986122886681098,-0.5436154465889815,
6,33,10,53,-1.580450375560848,-1.5910887737659039,
6,30,11,64,-1.488077055429833,-1.6894806201076367,
11,13,16,20,-0.15415067982725836,-0.2113090936672069,
17,47,27,80,-0.9808292530117262,-1.0622446444972349,
6,46,15,82,-1.9042374526547454,-1.6462518855568167,
8,19,32,26,-0.7985076962177716,0.20067069546215124,
7,28,16,46,-1.2878542883066382,-1.0169342576538425,
5,29,14,48,-1.6094379124341003,-1.1837700970084166,
5,28,9,52,-1.575536360758419,-1.667706820558076,
8,28,15,60,-1.1700712526502546,-1.33828514193353,
12,42,25,79,-1.1962507582320256,-1.1239300966523995,
