t,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,
32,0.19574,0.22758,0.2413,0.25172,0.25744,0.2637,0.26658,0.27072,0.27468,0.2785,0.2788,0.27986,0.27998,0.28128,0.28454,0.2839,0.2867,0.28666,0.2851,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,
33,0.22574,0.26584,0.28028,0.28922,0.30002,0.30824,0.31132,0.31352,0.31682,0.31948,0.3216,0.32282,0.32282,0.32308,0.32198,0.32428,0.32604,0.32584,0.32642,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,
34,0.26206,0.30238,0.31658,0.33516,0.34058,0.34796,0.35454,0.3627,0.36246,0.36796,0.3669,0.37058,0.37304,0.37198,0.37156,0.37474,0.3721,0.37088,0.3702,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,
35,0.28996,0.33498,0.3578,0.38134,0.38988,0.39682,0.4037,0.40794,0.41196,0.41868,0.42122,0.4241,0.42498,0.42846,0.43304,0.42936,0.43582,0.43392,0.43982,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,
36,0.32106,0.3758,0.39894,0.41714,0.42962,0.43552,0.44568,0.45002,0.46412,0.46618,0.46748,0.47392,0.4733,0.48112,0.48218,0.48396,0.48478,0.48454,0.48104,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,
37,0.36212,0.41096,0.4383,0.4565,0.46952,0.48236,0.49008,0.50106,0.50716,0.51288,0.52002,0.5215,0.52488,0.52834,0.5305,0.5309,0.52808,0.53072,0.5264,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,
38,0.39504,0.45648,0.48968,0.5056,0.52478,0.53626,0.54684,0.5542,0.55846,0.56528,0.56788,0.5716,0.57336,0.57754,0.57934,0.57948,0.58066,0.58198,0.58322,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,
39,0.43396,0.49594,0.52632,0.54752,0.5624,0.57506,0.5872,0.59362,0.5982,0.60424,0.60522,0.6075,0.60948,0.61044,0.6129,0.61486,0.61336,0.61348,0.61432,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,
40,0.47352,0.54014,0.56884,0.59154,0.6033,0.61548,0.62156,0.62824,0.63054,0.63846,0.6374,0.63962,0.64156,0.64226,0.64488,0.64366,0.64434,0.64632,0.64612,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,
41,0.51162,0.56572,0.60136,0.6173,0.63172,0.6366,0.64628,0.6486,0.64912,0.6499,0.6551,0.65414,0.65638,0.65464,0.65364,0.65204,0.65292,0.65228,0.6536,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
42,0.54418,0.60426,0.63014,0.6468,0.65568,0.66672,0.66588,0.66902,0.67088,0.67128,0.67262,0.66922,0.66966,0.66856,0.6656,0.66598,0.66464,0.666,0.66544,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
43,0.57316,0.63464,0.6608,0.6739,0.68126,0.68514,0.69082,0.68956,0.69032,0.68894,0.68968,0.69098,0.69044,0.68826,0.68596,0.68594,0.68396,0.68294,0.68064,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
44,0.61102,0.66224,0.68382,0.70016,0.70594,0.7105,0.71202,0.71624,0.71944,0.71804,0.71914,0.72104,0.71956,0.72226,0.72204,0.72142,0.72218,0.72112,0.72364,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
45,0.63598,0.68688,0.70918,0.71782,0.72372,0.72798,0.73026,0.7319,0.73408,0.73442,0.73292,0.73664,0.73594,0.73528,0.73462,0.73404,0.73418,0.73364,0.7333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,
46,0.66158,0.70858,0.72896,0.7344,0.73806,0.74222,0.74384,0.74422,0.74556,0.7437,0.74402,0.74438,0.74336,0.74228,0.7408,0.74032,0.73864,0.7373,0.73476,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,
